Time (s),Temp0,Temp1,Temp2,Temp_CPU,Volt0,Volt1,Volt2,Volt_CPU,Curr0,Curr1,Curr2,Cyc0,Cyc1,Cyc2,Seq0,Seq1,Seq2,disval0,disval1,disval2,dislowval0,dislowval1,dislowval2,chgval0,chgval1,chgval2,chglowval0,chglowval1,chglowval2,estSOC0,estSOC1,estSOC2,estCAP0,estCAP1,estCAP2,estV0,estV1,estV2
21632.133031407,26.5,26.75,29.9375,56.4,3.808,3.8032,3.7824,0.84,0.0,-0.0075,0.0025,0,0,0,0,0,0,120,120,120,120,120,120,9,9,9,200,200,200,0,0,0,171.6138,171.6138,171.6138,0,0,0
21633.144032142,26.5,26.9375,29.9375,57.4,3.808,3.8048,3.7807999999999997,0.84,0.0025,-0.0025,0.0,0,0,0,0,0,0,120,120,120,120,120,120,4.2,4.2,4.2,200,200,200,0.00013435491570663204,0.0005668532599444541,0.0005539879929011949,171.6138,171.6138,171.6138,3.364084170159652,2.8145330484605227,2.813044400347587
21634.154040212,26.5,26.75,29.9375,58.4,3.808,3.8063999999999996,3.7824,0.84,0.0,-0.0025,0.0,0,0,0,0,0,0,120,120,120,120,120,120,0,0,0,200,200,200,0.0011095867132271404,0.0014563897688465934,0.0014249407327623777,171.6138,171.6138,171.6138,2.894100999146128,2.9523479033429165,2.947888864322113
21635.164045447,26.5,26.875,29.9375,57.4,3.808,3.8048,3.7807999999999997,0.84,-0.005,0.0,0.005,0,0,0,0,0,0,120,120,120,120,120,120,0,0,0,200,200,200,0.0013016921144838958,0.0024278233991060715,0.002378114351005128,171.6138,171.6138,171.6138,3.5341750721789627,3.1189835494896943,3.1112675054736116
21636.174049405,26.5,26.875,29.9375,57.4,3.808,3.8063999999999996,3.7824,0.84,-0.0025,-0.0025,0.0025,0,0,0,0,0,0,120,120,120,120,120,120,0,0,0,200,200,200,0.0015098002667472568,0.0033097757970483306,0.003241421264623675,171.6138,171.6138,171.6138,3.5723295751550896,3.2797113821825348,3.268668855135279
21637.184052288,26.5,26.9375,29.9375,56.9,3.8063999999999996,3.8032,3.7840000000000003,0.84,-0.0025,-0.0025,0.0,0,0,0,0,0,0,120,120,120,120,120,120,0,0,0,200,200,200,0.002933058556414778,0.0033223827081255907,0.0039490811860402935,171.6138,171.6138,171.6138,3.1684545941116133,3.7846569192139676,3.4020249173909036
21638.194057133,26.5625,26.875,29.9375,57.4,3.808,3.8048,3.7807999999999997,0.84,-0.005,-0.0025,-0.0025,0,0,0,0,0,0,120,120,120,120,120,120,0,0,0,200,200,200,0.0029983309638985005,0.004239588767390685,0.004490713970015391,171.6138,171.6138,171.6138,3.7302359797516624,3.3995890042353434,3.506059916337728
21639.204057441,26.5625,26.9375,29.9375,58.4,3.808,3.8063999999999996,3.7824,0.84,-0.005,0.0,0.0,0,0,0,0,0,0,120,120,120,120,120,120,0,0,0,200,200,200,0.0030778940138956575,0.004896892186550217,0.004893913846774232,171.6138,171.6138,171.6138,3.7286247324656685,3.5170168591471938,3.583437881002849
21640.214062174,26.5625,26.9375,29.9375,57.9,3.8063999999999996,3.8048,3.7840000000000003,0.84,-0.005,-0.0025,0.0,0,0,0,0,0,0,120,120,120,120,120,120,0,0,0,200,200,200,0.004450449762464606,0.005360946585053906,0.005187012683708551,171.6138,171.6138,171.6138,3.347617660944911,3.601531208094493,3.639116839476597
21641.224068518,26.5625,26.875,29.9375,58.4,3.8096,3.8063999999999996,3.7840000000000003,0.84,-0.0025,-0.0025,0.0025,0,0,0,0,0,0,120,120,120,120,120,120,0,0,0,200,200,200,0.005340038676737415,0.005326031179571845,0.005406628925629827,171.6138,171.6138,171.6138,3.4939748886403232,3.9566767298298458,3.6792800315824983
21642.234075824,26.5625,26.875,29.9375,57.9,3.8048,3.8048,3.7824,0.84,-0.005,-0.0025,0.0,0,0,0,0,0,0,120,120,120,120,120,120,0,0,0,200,200,200,0.0059192057262350975,0.0052730812444581705,0.0055652017390412645,171.6138,171.6138,171.6138,3.59281568663413,3.8998918709233665,3.707511954505366
21643.24407661,26.5,26.9375,29.9375,57.4,3.8063999999999996,3.8048,3.7824,0.84,0.0,-0.005,0.0,0,0,0,0,0,0,120,120,120,120,120,120,0,0,0,200,200,200,0.005900140269061276,0.005229208205691601,0.005680371683652735,171.6138,171.6138,171.6138,3.938343535235802,3.8573057861026574,3.726823277981319
21644.265581238,26.5625,26.875,29.9375,58.9,3.8063999999999996,3.8048,3.7824,0.84,-0.0075,-0.0025,0.0025,0,0,0,0,0,0,120,120,120,120,120,120,0,0,0,200,200,200,0.006547312983088782,0.005208919959534296,0.005773113106787244,171.6138,171.6138,171.6138,3.602056040772927,3.8256326491912946,3.74083977752649
21645.275585986,26.5,26.9375,29.9375,58.9,3.8063999999999996,3.8048,3.7824,0.84,-0.0025,-0.0025,0.0025,0,0,0,0,0,0,120,120,120,120,120,120,0,0,0,200,200,200,0.006955383822944991,0.006499867562622267,0.005954578673370144,171.6138,171.6138,171.6138,3.668192491596553,3.488887040687375,4.02918897736143
21646.285596031,26.5,26.9375,29.9375,58.9,3.8063999999999996,3.8063999999999996,3.7824,0.84,-0.0025,-0.0025,0.0025,0,0,0,0,0,0,120,120,120,120,120,120,0,0,0,200,200,200,0.007226897240078444,0.00724861116648038,0.006294440858048686,171.6138,171.6138,171.6138,3.711942703116634,3.6030499967007517,3.670728884910193
21647.295599149,26.5,26.9375,29.9375,58.9,3.8048,3.8063999999999996,3.7840000000000003,0.84,-0.005,-0.0025,0.0,0,0,0,0,0,0,120,120,120,120,120,120,0,0,0,200,200,200,0.00732764695569536,0.00723500190194854,0.006513578831289177,171.6138,171.6138,171.6138,3.977074363752526,3.913031954451159,3.705086780538827
21648.30560097,26.5,26.9375,29.9375,58.4,3.808,3.8063999999999996,3.7807999999999997,0.84,-0.0075,0.0025,0.005,0,0,0,0,0,0,120,120,120,120,120,120,0,0,0,200,200,200,0.007770526113714275,0.007198806053719063,0.006675831957368125,171.6138,171.6138,171.6138,3.6783849145744583,3.868496689059206,3.985835744564978
21649.315612087,26.5,26.9375,29.9375,59.4,3.8063999999999996,3.8048,3.7824,0.84,0.0,0.0,-0.0025,0,0,0,0,0,0,120,120,120,120,120,120,0,0,0,200,200,200,0.008048330617928414,0.007171127066387687,0.007109912831105989,171.6138,171.6138,171.6138,3.7207538545461496,3.835050586436412,3.6595239586008557
21650.325613184,26.5,26.9375,29.9375,59.4,3.8063999999999996,3.808,3.7824,0.84,-0.005,0.0,0.0025,0,0,0,0,0,0,120,120,120,120,120,120,0,0,0,200,200,200,0.008226618254953296,0.00840213379078617,0.007380525791382445,171.6138,171.6138,171.6138,3.7478617244341716,3.5599431978622036,3.699983346879287
21651.335613782,26.5625,26.9375,29.9375,57.9,3.808,3.8048,3.7840000000000003,0.84,0.0,-0.005,0.0,0,0,0,0,0,0,120,120,120,120,120,120,0,0,0,200,200,200,0.008342377911297737,0.00837792184951489,0.007553355258499554,171.6138,171.6138,171.6138,3.764961497478066,3.864103344652853,3.7256838617195918
21652.34561473,26.5,26.8125,29.9375,58.9,3.808,3.8048,3.7807999999999997,0.84,-0.005,0.005,0.0,0,0,0,0,0,0,120,120,120,120,120,120,0,0,0,200,200,200,0.008426882279223752,0.009283054868797335,0.007668759000530482,171.6138,171.6138,171.6138,3.7762563728273015,3.6223846828655404,3.7420959261687825
21653.355624548,26.5625,26.875,29.9375,58.9,3.808,3.8063999999999996,3.7840000000000003,0.84,0.0,-0.0025,0.0,0,0,0,0,0,0,120,120,120,120,120,120,0,0,0,200,200,200,0.008488673645628806,0.009280154648613374,0.0077495254750899675,171.6138,171.6138,171.6138,3.783885349904142,3.8724003265217477,3.752724904521631
21654.365631514,26.5,26.875,29.9375,58.9,3.8063999999999996,3.8048,3.7807999999999997,0.84,-0.005,-0.005,0.0025,0,0,0,0,0,0,120,120,120,120,120,120,0,0,0,200,200,200,0.008536085535397225,0.009260924131496965,0.007812173657595423,171.6138,171.6138,171.6138,3.788948680264234,3.839799437891048,3.760035466427484
21655.375638794,26.5625,26.9375,29.9375,59.9,3.8063999999999996,3.8063999999999996,3.7824,0.84,-0.0075,0.0,0.0025,0,0,0,0,0,0,120,120,120,120,120,120,0,0,0,200,200,200,0.008574207469465876,0.009252285545284905,0.007853853612807944,171.6138,171.6138,171.6138,3.792337005163535,3.815146430929544,3.764351826945914
21656.385649,26.5,26.9375,29.9375,58.9,3.8063999999999996,3.8063999999999996,3.7807999999999997,0.84,0.0,-0.0025,0.0,0,0,0,0,0,0,120,120,120,120,120,120,0,0,0,200,200,200,0.00860324130888772,0.01043164511841333,0.007888281481657461,171.6138,171.6138,171.6138,3.7942737081732956,3.6111996760684857,3.7668839518566943
21657.407261101,26.5,26.875,29.9375,59.4,3.808,3.8048,3.7824,0.84,-0.0125,-0.0025,0.0,0,0,0,0,0,0,120,120,120,120,120,120,0,0,0,200,200,200,0.009128470805866788,0.010422759027235997,0.007920997734860193,171.6138,171.6138,171.6138,3.9858624541319543,3.838695357828741,3.768935683217257
