parsed_time,actual_time,delta_time,v0_parsed,v0_actual,c0_parsed,c0_actual,t0_parsed,t0_actual,v1_parsed,v1_actual,c1_parsed,c1_actual,t1_parsed,t1_actual,v2_parsed,v2_actual,c2_parsed,c2_actual,t2_parsed,t2_actual
21792.0,21795.516728892,3.516728891998355,3.93359375,3.808,-43.9375,0.0,26.5625,26.5625,3.94921875,3.808,-44.5625,0.0,27.0,26.9375,3.908203125,3.7824,-43.75,0.0025,30.25,30.25
21792.0,21795.516728892,3.516728891998355,3.939453125,3.808,-44.71875,0.0,26.5625,26.5625,3.951171875,3.808,-44.5625,0.0,27.0,26.9375,3.912109375,3.7824,-44.5,0.0025,30.1875,30.25
21792.0,21795.516728892,3.516728891998355,3.94140625,3.808,-44.71875,0.0,26.625,26.5625,3.958984375,3.808,-44.5625,0.0,27.0625,26.9375,3.91796875,3.7824,-45.25,0.0025,30.25,30.25
21792.0,21795.516728892,3.516728891998355,3.947265625,3.808,-44.71875,0.0,26.625,26.5625,3.9609375,3.808,-44.5625,0.0,27.125,26.9375,3.919921875,3.7824,-45.25,0.0025,30.3125,30.25
21808.0,21807.645035484,0.35496451599829015,3.947265625,3.96,-44.71875,-44.71,26.625,26.875,3.9609375,3.9744,-44.5625,-44.545,27.125,27.25,3.923828125,3.9312,-45.28125,-45.2675,30.25,30.3125
21808.0,21807.645035484,0.35496451599829015,3.94921875,3.96,-44.71875,-44.71,26.625,26.875,3.96484375,3.9744,-44.5625,-44.545,27.125,27.25,3.923828125,3.9312,-45.25,-45.2675,30.1875,30.3125
21808.0,21807.645035484,0.35496451599829015,3.951171875,3.96,-44.71875,-44.71,26.6875,26.875,3.96875,3.9744,-44.5625,-44.545,27.125,27.25,3.927734375,3.9312,-45.25,-45.2675,30.25,30.3125
21808.0,21807.645035484,0.35496451599829015,3.953125,3.96,-44.71875,-44.71,26.6875,26.875,3.96875,3.9744,-44.5625,-44.545,27.1875,27.25,3.92578125,3.9312,-45.25,-45.2675,30.25,30.3125
21808.0,21807.645035484,0.35496451599829015,3.953125,3.96,-44.71875,-44.71,26.75,26.875,3.970703125,3.9744,-44.5625,-44.545,27.1875,27.25,3.927734375,3.9312,-45.28125,-45.2675,30.25,30.3125
21808.0,21807.645035484,0.35496451599829015,3.955078125,3.96,-44.71875,-44.71,26.8125,26.875,3.97265625,3.9744,-44.53125,-44.545,27.25,27.25,3.9296875,3.9312,-45.25,-45.2675,30.25,30.3125
21808.0,21807.645035484,0.35496451599829015,3.958984375,3.96,-44.71875,-44.71,26.8125,26.875,3.97265625,3.9744,-44.5625,-44.545,27.25,27.25,3.93359375,3.9312,-45.25,-45.2675,30.25,30.3125
21808.0,21807.645035484,0.35496451599829015,3.9609375,3.96,-44.71875,-44.71,26.875,26.875,3.974609375,3.9744,-44.53125,-44.545,27.25,27.25,3.931640625,3.9312,-45.28125,-45.2675,30.3125,30.3125
21808.0,21807.645035484,0.35496451599829015,3.9609375,3.96,-44.71875,-44.71,26.9375,26.875,3.9765625,3.9744,-44.5625,-44.545,27.3125,27.25,3.93359375,3.9312,-45.28125,-45.2675,30.3125,30.3125
21808.0,21807.645035484,0.35496451599829015,3.962890625,3.96,-44.71875,-44.71,26.9375,26.875,3.978515625,3.9744,-44.53125,-44.545,27.25,27.25,3.93359375,3.9312,-45.25,-45.2675,30.25,30.3125
21808.0,21807.645035484,0.35496451599829015,3.9609375,3.96,-44.71875,-44.71,26.9375,26.875,3.98046875,3.9744,-44.53125,-44.545,27.25,27.25,3.93359375,3.9312,-45.25,-45.2675,30.25,30.3125
21808.0,21807.645035484,0.35496451599829015,3.962890625,3.96,-44.71875,-44.71,27.0,26.875,3.978515625,3.9744,-44.53125,-44.545,27.25,27.25,3.93359375,3.9312,-45.25,-45.2675,30.4375,30.3125
21872.0,21872.339808173,0.33980817300107446,3.998046875,3.9968,-44.71875,-44.72,27.9375,27.875,4.015625,4.0128,-44.53125,-44.535,28.25,28.125,3.96875,3.9648,-45.25,-45.26,30.9375,30.9375
21872.0,21872.339808173,0.33980817300107446,3.998046875,3.9968,-44.71875,-44.72,27.9375,27.875,4.015625,4.0128,-44.53125,-44.535,28.25,28.125,3.96875,3.9648,-45.25,-45.26,30.9375,30.9375
21872.0,21872.339808173,0.33980817300107446,3.99609375,3.9968,-44.71875,-44.72,27.9375,27.875,4.015625,4.0128,-44.53125,-44.535,28.1875,28.125,3.96875,3.9648,-45.25,-45.26,31.0,30.9375
21888.0,21888.504435616,0.5044356159996823,3.998046875,3.9968,-44.71875,-44.7225,28.0,28.0625,4.015625,4.0192000000000005,-44.53125,-44.5325,28.25,28.375,3.96875,3.9696,-45.25,-45.25,31.0,31.0625
21888.0,21888.504435616,0.5044356159996823,3.998046875,3.9968,-44.71875,-44.7225,28.0,28.0625,4.015625,4.0192000000000005,-44.53125,-44.5325,28.25,28.375,3.96875,3.9696,-45.25,-45.25,30.9375,31.0625
21888.0,21888.504435616,0.5044356159996823,3.99609375,3.9968,-44.71875,-44.7225,28.0,28.0625,4.015625,4.0192000000000005,-44.53125,-44.5325,28.3125,28.375,3.96875,3.9696,-45.25,-45.25,31.0,31.0625
21888.0,21888.504435616,0.5044356159996823,3.998046875,3.9968,-44.71875,-44.7225,28.0,28.0625,4.01953125,4.0192000000000005,-44.53125,-44.5325,28.3125,28.375,3.96875,3.9696,-45.25,-45.25,31.0,31.0625
21888.0,21888.504435616,0.5044356159996823,3.998046875,3.9968,-44.71875,-44.7225,28.0,28.0625,4.015625,4.0192000000000005,-44.53125,-44.5325,28.3125,28.375,3.96875,3.9696,-45.25,-45.25,31.0,31.0625
21888.0,21888.504435616,0.5044356159996823,3.998046875,3.9968,-44.71875,-44.7225,28.0,28.0625,4.015625,4.0192000000000005,-44.53125,-44.5325,28.3125,28.375,3.96875,3.9696,-45.25,-45.25,31.0,31.0625
21888.0,21888.504435616,0.5044356159996823,3.998046875,3.9968,-44.71875,-44.7225,28.0625,28.0625,4.015625,4.0192000000000005,-44.53125,-44.5325,28.25,28.375,3.96875,3.9696,-45.25,-45.25,31.0,31.0625
21888.0,21888.504435616,0.5044356159996823,4.0,3.9968,-44.71875,-44.7225,28.0625,28.0625,4.015625,4.0192000000000005,-44.53125,-44.5325,28.375,28.375,3.96875,3.9696,-45.25,-45.25,31.0,31.0625
21888.0,21888.504435616,0.5044356159996823,3.99609375,3.9968,-44.71875,-44.7225,28.0625,28.0625,4.01953125,4.0192000000000005,-44.53125,-44.5325,28.375,28.375,3.96875,3.9696,-45.25,-45.25,31.0625,31.0625
