parsed_time,actual_time,delta_time,soc0_parsed,volt0_parsed,cap0_parsed,est_cap0_actual,est_soc0_actual,est_volt0_actual,soc1_parsed,volt1_parsed,cap1_parsed,est_cap1_actual,est_soc1_actual,est_volt1_actual,soc2_parsed,volt2_parsed,cap2_parsed,est_cap2_actual,est_soc2_actual,est_volt2_actual
21792.0,21795.516728892,3.516728891998355,0.0001560561941005,3.417181968688965,171.61380004882812,171.6138,0.0,0.0,0.0001604021526873,3.418822765350342,171.61380004882812,171.6138,0.0,0.0,0.0001493059535278,3.415485143661499,171.61380004882812,171.6138,0.0,0.0
21792.0,21795.516728892,3.516728891998355,0.0006680185906589,3.479741096496582,171.61380004882812,171.6138,0.0,0.0,0.000681891629938,3.48191237449646,171.61380004882812,171.6138,0.0,0.0,0.0006475281552411,3.475231647491455,171.61380004882812,171.6138,0.0,0.0
21792.0,21795.516728892,3.516728891998355,0.0012309879530221,3.547534465789795,171.61380004882812,171.6138,0.0,0.0,0.0012542200274765,3.551797389984131,171.61380004882812,171.6138,0.0,0.0,0.0011968986364081,3.541285514831543,171.61380004882812,171.6138,0.0,0.0
21792.0,21795.516728892,3.516728891998355,0.0018052358645945,3.612112045288086,171.61380004882812,171.6138,0.0,0.0,0.0018343497067689,3.617619514465332,171.61380004882812,171.6138,0.0,0.0,0.0017577204853296,3.602758407592773,171.61380004882812,171.6138,0.0,0.0
21824.0,21823.831352741,0.16864725900086341,0.0094530573114752,3.892839193344116,171.61380004882812,171.6138,0.0124121861581516,3.900949688780936,0.0095827477052807,3.906867027282715,171.61380004882812,171.6138,0.012584508831424,3.914838292389258,0.0092739285901188,3.8709871768951416,171.61380004882812,171.6138,0.0121729176344241,3.879183308368896
21824.0,21823.831352741,0.16864725900086341,0.0098693380132317,3.895596504211426,171.61380004882812,171.6138,0.0124121861581516,3.900949688780936,0.0100021241232752,3.909484624862671,171.61380004882812,171.6138,0.012584508831424,3.914838292389258,0.0096828797832131,3.873644590377808,171.61380004882812,171.6138,0.0121729176344241,3.879183308368896
21824.0,21823.831352741,0.16864725900086341,0.0102825406938791,3.897130966186523,171.61380004882812,171.6138,0.0124121861581516,3.900949688780936,0.0104228341951966,3.910563707351685,171.61380004882812,171.6138,0.012584508831424,3.914838292389258,0.0100902197882533,3.875963926315308,171.61380004882812,171.6138,0.0121729176344241,3.879183308368896
21824.0,21823.831352741,0.16864725900086341,0.0107016582041978,3.897531747817993,171.61380004882812,171.6138,0.0124121861581516,3.900949688780936,0.0108491349965333,3.911184072494507,171.61380004882812,171.6138,0.012584508831424,3.914838292389258,0.0105024557560682,3.876710176467896,171.61380004882812,171.6138,0.0121729176344241,3.879183308368896
21824.0,21823.831352741,0.16864725900086341,0.0111258570104837,3.8983254432678223,171.61380004882812,171.6138,0.0124121861581516,3.900949688780936,0.0112802824005484,3.9121482372283936,171.61380004882812,171.6138,0.012584508831424,3.914838292389258,0.0109137771651148,3.876944780349731,171.61380004882812,171.6138,0.0121729176344241,3.879183308368896
21824.0,21823.831352741,0.16864725900086341,0.0115486709401011,3.898815631866455,171.61380004882812,171.6138,0.0124121861581516,3.900949688780936,0.0117098949849605,3.912774324417114,171.61380004882812,171.6138,0.012584508831424,3.914838292389258,0.0113303735852241,3.8775572776794434,171.61380004882812,171.6138,0.0121729176344241,3.879183308368896
21824.0,21823.831352741,0.16864725900086341,0.0119805838912725,3.8998754024505615,171.61380004882812,171.6138,0.0124121861581516,3.900949688780936,0.0121455388143658,3.9136483669281006,171.61380004882812,171.6138,0.012584508831424,3.914838292389258,0.0117466421797871,3.877860546112061,171.61380004882812,171.6138,0.0121729176344241,3.879183308368896
21824.0,21823.831352741,0.16864725900086341,0.012412185780704,3.900949716567993,171.61380004882812,171.6138,0.0124121861581516,3.900949688780936,0.0125845083966851,3.914838314056397,171.61380004882812,171.6138,0.012584508831424,3.914838292389258,0.0121729178354144,3.879183292388916,171.61380004882812,171.6138,0.0121729176344241,3.879183308368896
21824.0,21823.831352741,0.16864725900086341,0.0128476647660136,3.902230024337769,171.61380004882812,171.6138,0.0124121861581516,3.900949688780936,0.0130270831286907,3.916251659393311,171.61380004882812,171.6138,0.012584508831424,3.914838292389258,0.0125961489975452,3.880115032196045,171.61380004882812,171.6138,0.0121729176344241,3.879183308368896
21824.0,21823.831352741,0.16864725900086341,0.0132804652675986,3.903083086013794,171.61380004882812,171.6138,0.0124121861581516,3.900949688780936,0.0134732266888022,3.917791604995728,171.61380004882812,171.6138,0.012584508831424,3.914838292389258,0.0130234891548752,3.881251096725464,171.61380004882812,171.6138,0.0121729176344241,3.879183308368896
21824.0,21823.831352741,0.16864725900086341,0.0137140378355979,3.9038941860198975,171.61380004882812,171.6138,0.0124121861581516,3.900949688780936,0.013915728777647,3.9188754558563232,171.61380004882812,171.6138,0.012584508831424,3.914838292389258,0.0134540116414427,3.882613182067871,171.61380004882812,171.6138,0.0121729176344241,3.879183308368896
21824.0,21823.831352741,0.16864725900086341,0.0141583336517214,3.905564546585083,171.61380004882812,171.6138,0.0124121861581516,3.900949688780936,0.014358882792294,3.919837713241577,171.61380004882812,171.6138,0.012584508831424,3.914838292389258,0.0138809857890009,3.8835394382476807,171.61380004882812,171.6138,0.0121729176344241,3.879183308368896
