Time (s),Temp0,Temp1,Temp2,Temp_CPU,Volt0,Volt1,Volt2,Volt_CPU,Curr0,Curr1,Curr2,Cyc0,Cyc1,Cyc2,Seq0,Seq1,Seq2,disval0,disval1,disval2,dislowval0,dislowval1,dislowval2,chgval0,chgval1,chgval2,chglowval0,chglowval1,chglowval2,estSOC0,estSOC1,estSOC2,estCAP0,estCAP1,estCAP2,estV0,estV1,estV2,heater_on?
6025.806255869,28.625,29.0625,28.5,54.0,3.8544,3.8688000000000002,3.8752,0.84,-0.005,-0.0025,0.0025,0,0,0,0,0,0,125.79999999999967,120.29999999999998,127.79999999999956,120,120,120,9,9,9,200,200,200,0.053560433382928437,0.023738735033895713,0.055060782040430994,171.6138,171.6138,171.6138,0,0,0,False
6026.806269087,28.5625,29.0625,28.5,54.5,3.9856,3.9888000000000003,4.033600000000001,0.84,-43.25,-43.8525,-43.7525,1,1,1,0,0,0,125.79999999999967,120.29999999999998,127.79999999999956,120,120,120,5.8,7.9,7.2,200,200,200,0.053560433382928437,0.023738735033895713,0.055060782040430994,171.6138,171.6138,171.6138,0,0,0,False
6027.806278324,28.625,29.125,28.5,55.0,3.992,3.9951999999999996,4.04,0.84,-44.725,-44.545,-44.4925,1,1,1,0,0,0,125.79999999999967,120.29999999999998,127.79999999999956,120,120,120,4.900000000000003,7.9,6.300000000000003,200,200,200,0.05326743298555214,0.02246911021349335,0.05275583514322479,171.6138,171.6138,171.6138,3.7938550349474425,3.7034632444343547,3.816669908779838,False
6028.806282838,28.625,29.125,28.5,55.0,3.992,3.9968000000000004,4.0448,0.84,-44.7225,-44.5275,-45.245,1,1,1,0,0,0,125.79999999999967,120.29999999999998,127.79999999999956,120,120,120,4.900000000000003,7.9,5.900000000000005,200,200,200,0.05352426070698136,0.022295181529366836,0.05198659419352716,171.6138,171.6138,171.6138,3.834169879195416,3.758674765246298,3.861852558876583,False
6029.806286408,28.6875,29.0,28.5,56.0,3.9951999999999996,3.9968000000000004,4.0448,0.84,-44.725,-44.53,-45.245,1,1,1,0,0,0,125.79999999999967,120.29999999999998,127.79999999999956,120,120,120,4.900000000000003,7.9,5.900000000000005,200,200,200,0.05393196069261425,0.022545766517834614,0.0518550893869681,171.6138,171.6138,171.6138,3.862897875747441,3.8004749563202638,3.895290526172832,False
6030.806290571,28.5625,29.0625,28.5625,55.5,3.9936000000000003,3.9968000000000004,4.046399999999999,0.84,-44.7275,-44.54,-45.25,1,1,1,0,0,0,125.79999999999967,120.29999999999998,127.79999999999956,120,120,120,4.900000000000003,7.9,5.900000000000005,200,200,200,0.05440765598474834,0.02300305736891037,0.05206094262333616,171.6138,171.6138,171.6138,3.8850756764232135,3.8325739945600326,3.919309196491884,False
6031.806302585,28.5625,29.0625,28.5,55.5,3.9968000000000004,4.0,4.046399999999999,0.84,-44.7175,-44.5375,-45.2475,1,1,1,0,0,0,125.79999999999967,120.29999999999998,127.79999999999956,120,120,120,4.900000000000003,7.9,5.900000000000005,200,200,200,0.054903986438228004,0.02355765199963443,0.05244149598496277,171.6138,171.6138,171.6138,3.901559934486086,3.8573066698847196,3.937593316680184,False
6032.806302618,28.625,29.125,28.5625,56.4,3.9951999999999996,4.0,4.048,0.84,-44.7225,-44.535,-45.245,1,1,1,0,0,0,125.79999999999967,120.29999999999998,127.79999999999956,120,120,120,4.900000000000003,7.9,5.900000000000005,200,200,200,0.05541274403368279,0.02416074677814887,0.05291358321625936,171.6138,171.6138,171.6138,3.914679979456229,3.8769785434634736,3.951406156501546,False
6033.806304262,28.5625,29.0,28.5,56.0,3.9968000000000004,4.0,4.048,0.84,-44.72,-44.53,-45.2425,1,1,1,0,0,0,125.79999999999967,120.29999999999998,127.79999999999956,120,120,120,4.900000000000003,7.9,5.900000000000005,200,200,200,0.0559119264515505,0.024776102417472076,0.05343645355756647,171.6138,171.6138,171.6138,3.924420375242473,3.8922052946983996,3.9622156770027943,False
6034.806318351,28.625,29.0,28.5625,56.4,3.9968000000000004,4.001600000000001,4.048,0.84,-44.7225,-44.535,-45.24,1,1,1,0,0,0,125.79999999999967,120.29999999999998,127.79999999999956,120,120,120,4.900000000000003,7.9,5.900000000000005,200,200,200,0.05640783032371074,0.02538964635062219,0.05398208146774281,171.6138,171.6138,171.6138,3.9321594878782236,3.903983012452964,3.970485697308679,False
6035.806329087,28.5625,29.0625,28.5,56.0,3.9951999999999996,4.0,4.048,0.84,-44.7275,-44.535,-45.25,1,1,1,0,0,0,125.79999999999967,120.29999999999998,127.79999999999956,120,120,120,4.900000000000003,7.9,5.900000000000005,200,200,200,0.05689416344388809,0.026000321877708003,0.05453745054638355,171.6138,171.6138,171.6138,3.938110002527372,3.9134178476644745,3.9768334194192794,False
6036.806331972,28.5625,29.125,28.5,56.4,3.9951999999999996,4.0,4.048,0.84,-44.7275,-44.5325,-45.2475,1,1,1,0,0,0,125.79999999999967,120.29999999999998,127.79999999999956,120,120,120,4.900000000000003,7.9,5.900000000000005,200,200,200,0.05736629074136399,0.026594488216470157,0.05509567150925198,171.6138,171.6138,171.6138,3.942394275206589,3.9204856296890624,3.981735121497586,False
6037.806344023,28.625,29.125,28.4375,56.9,3.9984000000000006,4.0,4.049600000000001,0.84,-44.725,-44.53,-45.25,1,1,1,0,0,0,125.79999999999967,120.29999999999998,127.79999999999956,120,120,120,4.900000000000003,7.9,5.900000000000005,200,200,200,0.0578314079505295,0.02717852885166261,0.05565340124502943,171.6138,171.6138,171.6138,3.9456894579822377,3.9259824864304416,3.985516491664885,False
6038.806355149,28.5625,29.0625,28.5,56.9,3.9968000000000004,4.0,4.048,0.84,-44.7225,-44.53,-45.245,1,1,1,0,0,0,125.79999999999967,120.29999999999998,127.79999999999956,120,120,120,4.900000000000003,7.9,5.900000000000005,200,200,200,0.05830154902418301,0.027753079726204898,0.056215305981028155,171.6138,171.6138,171.6138,3.948833253127383,3.9303109950836626,3.98875250665941,False
6039.806361941,28.5625,29.0625,28.5,56.4,3.9968000000000004,4.0,4.0512,0.84,-44.73,-44.535,-45.2625,1,1,1,0,0,0,125.79999999999967,120.29999999999998,127.79999999999956,120,120,120,4.900000000000003,7.9,5.900000000000005,200,200,200,0.058759112269223285,0.02831910050925184,0.05676667631078447,171.6138,171.6138,171.6138,3.9509978688166916,3.933750699085141,3.990987639059826,False
6040.806374547,28.5625,29.0625,28.5625,56.9,3.9984000000000006,4.001600000000001,4.048,0.84,-44.72,-44.525,-45.2475,1,1,1,0,0,0,125.79999999999967,120.29999999999998,127.79999999999956,120,120,120,4.900000000000003,7.9,5.900000000000005,200,200,200,0.05921196548121236,0.028877602299526964,0.057328629432857915,171.6138,171.6138,171.6138,3.9526893819347078,3.936515673447985,3.9933406258360225,False
6041.806379691,28.5625,29.0625,28.5,57.4,3.9968000000000004,4.0032,4.048,0.84,-44.72,-44.5275,-45.2525,1,1,1,0,0,0,125.79999999999967,120.29999999999998,127.79999999999956,120,120,120,4.900000000000003,7.9,5.900000000000005,200,200,200,0.059666832685309555,0.029435872293571693,0.05787184209692579,171.6138,171.6138,171.6138,3.954302070323188,3.9390399171519603,3.99460184545501,False
6042.806382076,28.4375,29.125,28.5,57.4,3.9984000000000006,4.001600000000001,4.0512,0.84,-44.725,-44.53,-45.2475,1,1,1,0,0,0,125.79999999999967,120.29999999999998,127.79999999999956,120,120,120,4.900000000000003,7.9,5.900000000000005,200,200,200,0.060111663190875755,0.029993403032741013,0.05841287244553707,171.6138,171.6138,171.6138,3.9552977426182268,3.941436664739851,3.9956087626044656,False
6043.806391349,28.5625,29.0625,28.5,57.4,3.9968000000000004,4.001600000000001,4.049600000000001,0.84,-44.725,-44.535,-45.255,1,1,1,0,0,0,125.79999999999967,120.29999999999998,127.79999999999956,120,120,120,4.900000000000003,7.9,5.900000000000005,200,200,200,0.06056213648456995,0.030538597324948877,0.05896583677750887,171.6138,171.6138,171.6138,3.9559047080716363,3.942874910613064,3.997007778519945,False
6044.806394826,28.5625,29.125,28.5,56.9,3.9984000000000006,4.0032,4.0512,0.84,-44.7225,-44.5275,-45.255,1,1,1,0,0,0,125.79999999999967,120.29999999999998,127.79999999999956,120,120,120,4.900000000000003,7.9,5.900000000000005,200,200,200,0.06100597840028626,0.031081435383122594,0.05950704346633912,171.6138,171.6138,171.6138,3.9559925008774646,3.9437546596228916,3.997872646750219,False
6045.806399118,28.5625,29.0,28.5625,58.4,3.9984000000000006,4.001600000000001,4.048,0.84,-44.7175,-44.525,-45.245,1,1,1,0,0,0,125.79999999999967,120.29999999999998,127.79999999999956,120,120,120,4.900000000000003,7.9,5.900000000000005,200,200,200,0.06145611667612959,0.03162844798911414,0.06005266890575724,171.6138,171.6138,171.6138,3.9563594180076183,3.944821867899953,3.9988594535097697,False
6046.806401521,28.5625,29.0625,28.5625,58.4,3.9984000000000006,4.001600000000001,4.0512,0.84,-44.72,-44.5275,-45.2525,1,1,1,0,0,0,125.79999999999967,120.29999999999998,127.79999999999956,120,120,120,4.900000000000003,7.9,5.900000000000005,200,200,200,0.06190547735002223,0.03216536571713518,0.06058265359304529,171.6138,171.6138,171.6138,3.9566492968324827,3.945491098424141,3.9986719513025193,False
6047.806412739,28.625,29.125,28.5625,57.9,3.9984000000000006,4.001600000000001,4.0512,0.84,-44.715,-44.5225,-45.2475,1,1,1,0,0,0,125.79999999999967,120.29999999999998,127.79999999999956,120,120,120,4.900000000000003,7.9,5.900000000000005,200,200,200,0.062354166362554996,0.03270027950927249,0.06112938121529556,171.6138,171.6138,171.6138,3.956886857144814,3.946093321794763,3.998854876379657,False
6048.806418642,28.5,29.125,28.5625,58.4,4.001600000000001,4.001600000000001,4.049600000000001,0.84,-44.7175,-44.5325,-45.255,1,1,1,0,0,0,125.79999999999967,120.29999999999998,127.79999999999956,120,120,120,4.900000000000003,7.9,5.900000000000005,200,200,200,0.06280238082248667,0.03323319846868396,0.0616753915299574,171.6138,171.6138,171.6138,3.957071582175423,3.9466611462113907,3.999002816889346,False
6049.806428415,28.5625,29.125,28.5625,56.9,3.9984000000000006,4.0048,4.049600000000001,0.84,-44.7275,-44.5325,-45.255,1,1,1,0,0,0,125.79999999999967,120.29999999999998,127.79999999999956,120,120,120,4.900000000000003,7.9,5.900000000000005,200,200,200,0.06326199221426461,0.03376396324246129,0.0622134447471419,171.6138,171.6138,171.6138,3.9578195237920064,3.947221718160355,3.998847080445652,False
6050.806433652,28.5625,29.125,28.5625,57.4,3.9984000000000006,4.0032,4.0512,0.84,-44.725,-44.5375,-45.2475,1,1,1,0,0,0,125.79999999999967,120.29999999999998,127.79999999999956,120,120,120,4.900000000000003,7.9,5.900000000000005,200,200,200,0.06370718248492337,0.03430577883269452,0.06275202240117145,171.6138,171.6138,171.6138,3.95782276877257,3.9483365345835915,3.9987318422034903,False
6051.806441184,28.5625,29.125,28.5625,57.4,4.0,4.001600000000001,4.0512,0.84,-44.7225,-44.535,-45.255,1,1,1,0,0,0,125.79999999999967,120.29999999999998,127.79999999999956,120,120,120,4.900000000000003,7.9,5.900000000000005,200,200,200,0.06415265720529646,0.0348362885767455,0.06329783339304111,171.6138,171.6138,171.6138,3.9578200148815834,3.9490673274114645,3.9989431060931033,False
6052.806446976,28.5625,29.0,28.5625,56.9,4.001600000000001,4.0032,4.0512,0.84,-44.7275,-44.53,-45.26,1,1,1,0,0,0,125.79999999999967,120.29999999999998,127.79999999999956,120,120,120,4.900000000000003,7.9,5.900000000000005,200,200,200,0.06460420391839145,0.035357490782663085,0.063842125009139,171.6138,171.6138,171.6138,3.9581224889339253,3.9494109910786803,3.999133926192427,False
6053.806450453,28.625,29.125,28.5625,57.4,4.0,4.0048,4.0512,0.84,-44.7225,-44.53,-45.2575,1,1,1,0,0,0,125.79999999999967,120.29999999999998,127.79999999999956,120,120,120,4.900000000000003,7.9,5.900000000000005,200,200,200,0.06506063549339453,0.03588394408576405,0.06438512891396166,171.6138,171.6138,171.6138,3.9586680418847497,3.9500463786215194,3.9992922149666192,False
6054.806456912,28.5625,29.125,28.5625,58.9,4.0,4.001600000000001,4.0512,0.84,-44.725,-44.5325,-45.25,1,1,1,0,0,0,125.79999999999967,120.29999999999998,127.79999999999956,120,120,120,4.900000000000003,7.9,5.900000000000005,200,200,200,0.06550925247279382,0.03641409638952914,0.06492696645785127,171.6138,171.6138,171.6138,3.9587939076822805,3.9509653484207523,3.9994207818772938,False
6055.806459426,28.625,29.0,28.5625,58.4,3.9984000000000006,4.0048,4.049600000000001,0.84,-44.7225,-44.53,-45.2575,1,1,1,0,0,0,125.79999999999967,120.29999999999998,127.79999999999956,120,120,120,4.900000000000003,7.9,5.900000000000005,200,200,200,0.06595742422882342,0.036927068267035075,0.06546769152052088,171.6138,171.6138,171.6138,3.958903902372385,3.9512238594322273,3.9995279762800027,False
6056.806470254,28.625,29.0625,28.5625,57.9,4.0,4.001600000000001,4.0528,0.84,-44.73,-44.535,-45.2575,1,1,1,0,0,0,125.79999999999967,120.29999999999998,127.79999999999956,120,120,120,4.900000000000003,7.9,5.900000000000005,200,200,200,0.06639931361465612,0.03745234040463853,0.0660002638081831,171.6138,171.6138,171.6138,3.9586977768888785,3.952054026850218,3.999342463721453,False
6057.806476713,28.625,29.0625,28.5625,58.4,3.9984000000000006,4.0048,4.0528,0.84,-44.7225,-44.5325,-45.2575,1,1,1,0,0,0,125.79999999999967,120.29999999999998,127.79999999999956,120,120,120,4.900000000000003,7.9,5.900000000000005,200,200,200,0.06684789806463447,0.03796051935832943,0.0665471182950227,171.6138,171.6138,171.6138,3.9588513787622435,3.9522767820569142,3.9997922625614573,False
6058.806481856,28.625,29.0625,28.625,58.4,4.0,4.0048,4.0528,0.84,-44.72,-44.5275,-45.2475,1,1,1,0,0,0,125.79999999999967,120.29999999999998,127.79999999999956,120,120,120,4.900000000000003,7.9,5.900000000000005,200,200,200,0.06729005651266066,0.038481149046198176,0.06709133283945745,171.6138,171.6138,171.6138,3.95867230277482,3.9530769652398305,4.000155982178807,False
6059.806491167,28.5,29.0625,28.5625,58.9,4.0,4.0048,4.0512,0.84,-44.72,-44.525,-45.2475,1,1,1,0,0,0,125.79999999999967,120.29999999999998,127.79999999999956,120,120,120,4.900000000000003,7.9,5.900000000000005,200,200,200,0.06773877412577606,0.03899800730327338,0.0676333792434602,171.6138,171.6138,171.6138,3.9588418707906388,3.953849241758305,4.000439425006567,False
6060.806502458,28.5625,29.0625,28.5625,57.9,4.0,4.0048,4.0544,0.84,-44.725,-44.53,-45.2525,1,1,1,0,0,0,125.79999999999967,120.29999999999998,127.79999999999956,120,120,120,4.900000000000003,7.9,5.900000000000005,200,200,200,0.06818681639941496,0.039511472823318496,0.06816654216185733,171.6138,171.6138,171.6138,3.958985478803146,3.9545468399993906,4.00038393270457,False
6061.806515657,28.625,29.125,28.5625,58.9,4.0032,4.006399999999999,4.0528,0.84,-44.7225,-44.5275,-45.2575,1,1,1,0,0,0,125.79999999999967,120.29999999999998,127.79999999999956,120,120,120,4.900000000000003,7.9,5.900000000000005,200,200,200,0.06863428652369997,0.040021828821278506,0.06871315685625176,171.6138,171.6138,171.6138,3.95910951206141,3.9551922714630834,4.000944803837817,False
6062.806521319,28.625,29.125,28.5625,57.9,4.0,4.0048,4.0528,0.84,-44.725,-44.5325,-45.2525,1,1,1,0,0,0,125.79999999999967,120.29999999999998,127.79999999999956,120,120,120,4.900000000000003,7.9,5.900000000000005,200,200,200,0.06909324822564164,0.040537097969625395,0.06924978893297272,171.6138,171.6138,171.6138,3.9597997063972152,3.955861118822424,4.001099577306945,False
6063.806525703,28.625,29.125,28.5625,58.4,4.0,4.0048,4.0512,0.84,-44.7275,-44.535,-45.2575,1,1,1,0,0,0,125.79999999999967,120.29999999999998,127.79999999999956,120,120,120,4.900000000000003,7.9,5.900000000000005,200,200,200,0.06953766428324037,0.041043487666840725,0.06978521992723025,171.6138,171.6138,171.6138,3.9597549742497944,3.9560306572802952,4.00122040392062,False
6064.80652781,28.625,29.0625,28.625,58.4,4.0032,4.006399999999999,4.0528,0.84,-44.71,-44.5325,-45.245,1,1,1,0,0,0,125.79999999999967,120.29999999999998,127.79999999999956,120,120,120,4.900000000000003,7.9,5.900000000000005,200,200,200,0.06998224590834266,0.04154908969963097,0.07031259365172889,171.6138,171.6138,171.6138,3.9597260757991632,3.956224211439257,4.001035014189267,False
6065.806540731,28.625,29.125,28.5625,59.4,4.001600000000001,4.008,4.0544,0.84,-44.715,-44.5275,-45.245,1,1,1,0,0,0,125.79999999999967,120.29999999999998,127.79999999999956,120,120,120,4.900000000000003,7.9,5.900000000000005,200,200,200,0.07043900918161053,0.04206030692933135,0.0708473807555934,171.6138,171.6138,171.6138,3.9602629238313733,3.956747393315944,4.0011329458176,False
6066.80654656,28.625,29.0625,28.625,59.4,4.0,4.006399999999999,4.0512,0.84,-44.7325,-44.5375,-45.2475,1,1,1,0,0,0,125.79999999999967,120.29999999999998,127.79999999999956,120,120,120,4.900000000000003,7.9,5.900000000000005,200,200,200,0.07088768549504111,0.042575645902909694,0.0713877917027321,171.6138,171.6138,171.6138,3.960387124700253,3.9575448925965984,4.00152423097419,False
6067.806552462,28.625,29.0625,28.5625,58.9,4.0032,4.006399999999999,4.049600000000001,0.84,-44.72,-44.5325,-45.2475,1,1,1,0,0,0,125.79999999999967,120.29999999999998,127.79999999999956,120,120,120,4.900000000000003,7.9,5.900000000000005,200,200,200,0.07132988715567674,0.043080631132674914,0.07191220409136993,171.6138,171.6138,171.6138,3.960203311488478,3.957982727670899,4.001248829672667,False
6068.806555106,28.6875,29.0625,28.5625,59.4,4.001600000000001,4.008,4.0544,0.84,-44.72,-44.535,-45.255,1,1,1,0,0,0,125.79999999999967,120.29999999999998,127.79999999999956,120,120,120,4.900000000000003,7.9,5.900000000000005,200,200,200,0.07178483442306641,0.043583827100705255,0.07243041916333716,171.6138,171.6138,171.6138,3.9606349695748504,3.958367890174173,4.000746828770679,False
6069.806560027,28.625,29.0625,28.5625,58.9,4.001600000000001,4.008,4.0528,0.84,-44.7275,-44.525,-45.2525,1,1,1,0,0,0,125.79999999999967,120.29999999999998,127.79999999999956,120,120,120,4.900000000000003,7.9,5.900000000000005,200,200,200,0.07223204056704152,0.044091772500354044,0.07297048866810661,171.6138,171.6138,171.6138,3.960689497052825,3.959045952286762,4.00126103071469,False
6070.806573559,28.625,29.0625,28.5625,58.9,4.001600000000001,4.0048,4.056,0.84,-44.72,-44.535,-45.2425,1,1,1,0,0,0,125.79999999999967,120.29999999999998,127.79999999999956,120,120,120,4.900000000000003,7.9,5.900000000000005,200,200,200,0.07267895526018539,0.04459664859351764,0.07350095603685532,171.6138,171.6138,171.6138,3.9607434101515087,3.959659796003148,4.001367114675298,False
6071.80658698,28.625,29.0625,28.625,58.9,4.0032,4.006399999999999,4.0544,0.84,-44.7275,-44.5275,-45.25,1,1,1,0,0,0,125.79999999999967,120.29999999999998,127.79999999999956,120,120,120,4.900000000000003,7.9,5.900000000000005,200,200,200,0.07312570126146006,0.04508534440712045,0.07404385573209256,171.6138,171.6138,171.6138,3.9607787986941054,3.9596457803315044,4.002039711160217,False
6072.806595105,28.625,29.0625,28.5625,58.4,4.001600000000001,4.006399999999999,4.0544,0.84,-44.7175,-44.535,-45.245,1,1,1,0,0,0,125.79999999999967,120.29999999999998,127.79999999999956,120,120,120,4.900000000000003,7.9,5.900000000000005,200,200,200,0.0735780720223815,0.04558084343151844,0.07457632581344086,171.6138,171.6138,171.6138,3.9611219169660603,3.959953604328493,4.002288425357787,False
6073.806599823,28.625,29.0625,28.625,58.9,4.0032,4.006399999999999,4.0544,0.84,-44.7175,-44.525,-45.25,1,1,1,0,0,0,125.79999999999967,120.29999999999998,127.79999999999956,120,120,120,4.900000000000003,7.9,5.900000000000005,200,200,200,0.07402325875200721,0.04607457004186236,0.07510721425342914,171.6138,171.6138,171.6138,3.9610819093384535,3.960309102813777,4.002476759441297,False
6074.806613262,28.625,29.125,28.625,58.4,4.0032,4.008,4.0512,0.84,-44.72,-44.53,-45.2525,1,1,1,0,0,0,125.79999999999967,120.29999999999998,127.79999999999956,120,120,120,4.900000000000003,7.9,5.900000000000005,200,200,200,0.07447434608008625,0.04656667910656562,0.07563659786450443,171.6138,171.6138,171.6138,3.9613611827796387,3.96064999133194,4.002639332341928,False
6075.806616331,28.5625,29.125,28.5625,60.3,4.001600000000001,4.008,4.0544,0.84,-44.72,-44.5325,-45.2525,1,1,1,0,0,0,125.79999999999967,120.29999999999998,127.79999999999956,120,120,120,4.900000000000003,7.9,5.900000000000005,200,200,200,0.07492429406987186,0.0470636369647317,0.07615134137577101,171.6138,171.6138,171.6138,3.9615857631080478,3.961298799850371,4.002180756121606,False
6076.806629234,28.625,29.125,28.625,59.4,4.0,4.008,4.0528,0.84,-44.715,-44.525,-45.25,1,1,1,0,0,0,125.79999999999967,120.29999999999998,127.79999999999956,120,120,120,4.900000000000003,7.9,5.900000000000005,200,200,200,0.07536740984800544,0.04755757508447905,0.07668077723226362,171.6138,171.6138,171.6138,3.9614662640892613,3.9618976746328367,4.002424197729336,False
6077.806630803,28.5625,29.0625,28.625,59.9,4.0032,4.008,4.056,0.84,-44.7275,-44.525,-45.2475,1,1,1,0,0,0,125.79999999999967,120.29999999999998,127.79999999999956,120,120,120,4.900000000000003,7.9,5.900000000000005,200,200,200,0.07580496197470632,0.048048850425044615,0.07720186884917896,171.6138,171.6138,171.6138,3.9610788540008945,3.962428333430819,4.002325712117413,False
6078.80663478,28.625,29.125,28.5625,60.8,4.0,4.008,4.0544,0.84,-44.7275,-44.535,-45.2475,1,1,1,0,0,0,125.79999999999967,120.29999999999998,127.79999999999956,120,120,120,4.900000000000003,7.9,5.900000000000005,200,200,200,0.07625556817390126,0.04853759888723481,0.07773599317039656,171.6138,171.6138,171.6138,3.961395945293472,3.9629217697007646,4.002849189147658,False
6079.806641608,28.625,29.1875,28.625,58.9,4.0,4.009600000000001,4.056,0.84,-44.7225,-44.53,-45.2425,1,1,1,0,0,0,125.79999999999967,120.29999999999998,127.79999999999956,120,120,120,4.900000000000003,7.9,5.900000000000005,200,200,200,0.07669314691200906,0.04902400348786642,0.07826058824161287,171.6138,171.6138,171.6138,3.9610452390390707,3.963389580617567,4.0029696281934966,False
6080.806652659,28.625,29.0625,28.625,59.4,4.001600000000001,4.009600000000001,4.0544,0.84,-44.725,-44.5325,-45.255,1,1,1,0,0,0,125.79999999999967,120.29999999999998,127.79999999999956,120,120,120,4.900000000000003,7.9,5.900000000000005,200,200,200,0.0771319123342798,0.04951498692137116,0.07879067163293846,171.6138,171.6138,171.6138,3.9607758680059666,3.9641086830336305,4.003361088167803,False
6081.806656765,28.625,29.125,28.625,59.4,4.001600000000001,4.008,4.0544,0.84,-44.72,-44.5275,-45.2575,1,1,1,0,0,0,125.79999999999967,120.29999999999998,127.79999999999956,120,120,120,4.900000000000003,7.9,5.900000000000005,200,200,200,0.07757737856325495,0.05000256806242528,0.07931177204843652,171.6138,171.6138,171.6138,3.960879262774927,3.9647670836448783,4.003391509434899,False
6082.806665353,28.625,29.125,28.5625,59.4,4.001600000000001,4.008,4.0528,0.84,-44.73,-44.5375,-45.2475,1,1,1,0,0,0,125.79999999999967,120.29999999999998,127.79999999999956,120,120,120,4.900000000000003,7.9,5.900000000000005,200,200,200,0.0780223497799191,0.050482334529491,0.07983223496456313,171.6138,171.6138,171.6138,3.9609603548065886,3.96470509336473,4.003414767549509,False
6083.806674996,28.6875,29.125,28.625,58.4,4.0032,4.009600000000001,4.0576,0.84,-44.7225,-44.53,-45.2525,1,1,1,0,0,0,125.79999999999967,120.29999999999998,127.79999999999956,120,120,120,4.900000000000003,7.9,5.900000000000005,200,200,200,0.07846678549924181,0.05096355172032561,0.08034547485516302,171.6138,171.6138,171.6138,3.961042255905406,3.964425280368577,4.003135912867814,False
6084.806680398,28.625,29.125,28.5625,59.4,4.0032,4.009600000000001,4.0528,0.84,-44.7275,-44.525,-45.25,1,1,1,0,0,0,125.79999999999967,120.29999999999998,127.79999999999956,120,120,120,4.900000000000003,7.9,5.900000000000005,200,200,200,0.07891679836667331,0.05145241375731024,0.08087869860881991,171.6138,171.6138,171.6138,3.9613940843126727,3.9645377244176925,4.003836011450371,False
