Time (s),Temp0,Temp1,Temp2,Temp_CPU,Volt0,Volt1,Volt2,Volt_CPU,Curr0,Curr1,Curr2,Cyc0,Cyc1,Cyc2,Seq0,Seq1,Seq2,disval0,disval1,disval2,dislowval0,dislowval1,dislowval2,chgval0,chgval1,chgval2,chglowval0,chglowval1,chglowval2,estSOC0,estSOC1,estSOC2,estCAP0,estCAP1,estCAP2,estV0,estV1,estV2,heater_on?
3602.242051197,25.6875,26.5,28.0625,53.0,3.2688,3.5792,2.7568,0.84,-0.0025,-0.005,0.0025,0,0,0,0,0,0,120,120,120,120,120,120,9,9,9,200,200,200,0,0,0,171.6138,171.6138,171.6138,0,0,0,False
3603.242059777,25.6875,26.5,28.0,53.5,3.0496,3.4352,2.752,0.84,39.6,35.0,0.0025,0,0,0,0,0,0,120.49999999999997,120.49999999999997,120.1,120,120,120,9,9,9,200,200,200,0,0,0,171.6138,171.6138,171.6138,0,0,0,False
3604.242061116,25.6875,26.5,28.0625,53.5,2.9375999999999998,3.4192000000000005,2.8288,0.84,40.7775,35.4725,0.0025,0,0,0,0,0,0,121.49999999999991,121.49999999999991,120.1,120,120,120,9,9,9,200,200,200,0.00018471533227985395,0.0003886449723647694,1.7678295490795558e-06,171.6138,171.6138,171.6138,2.7263893095490475,2.7551578599788566,2.748906692031975,False
3605.242073863,25.6875,26.5,28.0625,54.0,2.8688000000000002,3.4112,2.8768000000000002,0.84,42.125,35.93,0.0025,0,0,0,0,0,0,122.49999999999986,122.49999999999986,120.1,120,120,120,9,9,9,200,200,200,0.00015496137122099652,0.0008757956964440463,7.605005824734376e-05,171.6138,171.6138,171.6138,2.7461366805806278,2.759400754071944,2.7579942935009876,False
3606.242084128,25.6875,26.5,28.0625,53.5,2.8112,3.4112,2.9136,0.84,43.3725,36.32,-0.005,0,0,0,0,0,0,123.4999999999998,123.4999999999998,120.1,120,120,120,9,9,9,200,200,200,7.348435327384151e-05,0.0014356008956989848,0.0002164057876365278,171.6138,171.6138,171.6138,2.7602601371633857,2.874294724304693,2.779064566449288,False
3607.242091523,25.6875,26.5,28.0625,54.0,2.7568,3.408,2.9424,0.84,44.6875,36.7275,0.0025,0,0,0,0,0,0,124.29999999999976,124.49999999999974,120.1,120,120,120,9,9,9,200,200,200,-9.220444245959288e-05,0.0019461908680307254,-5.868328360230369e-05,171.6138,171.6138,171.6138,2.7649684296243584,2.987821283341738,3.2838812679918523,False
3608.242094066,25.6875,26.5,28.0625,54.5,3.0784000000000007,3.4032,2.9648000000000003,0.84,0.0025,37.17,0.005,0,0,0,0,0,0,124.29999999999976,125.49999999999969,120.1,120,120,120,9,9,9,200,200,200,-0.00034587453082771005,0.0023429777795146577,0.0003676254100937245,171.6138,171.6138,171.6138,2.757276656873958,3.084776239163286,2.742011568932368,False
3609.242098424,25.6875,26.375,28.0,53.5,3.152,3.4016,2.9872,0.84,0.0,37.625,0.0025,0,0,0,0,0,0,124.29999999999976,126.49999999999963,120.1,120,120,120,9,9,9,200,200,200,-0.00011327619907285048,0.0026150813670746545,0.0007322086726070103,171.6138,171.6138,171.6138,2.850816508536901,3.16004183176831,2.800666195647323,False
3610.242111041,25.6875,26.5,28.0625,53.5,3.1807999999999996,3.4,3.0016000000000003,0.84,-0.0025,38.0175,0.0,0,0,0,0,0,0,124.29999999999976,127.49999999999957,120.1,120,120,120,9,9,9,200,200,200,0.0004715042187818055,0.0027840369532584346,0.0010351899672162877,171.6138,171.6138,171.6138,2.900160142807975,3.2157177754015573,2.8534941359755877,False
3611.242114843,25.6875,26.5,28.0625,54.5,3.1936000000000004,3.3952,3.016,0.84,0.0025,38.4475,0.0,0,0,0,0,0,0,124.29999999999976,128.49999999999952,120.1,120,120,120,9,9,9,200,200,200,0.000350514634633773,0.0028709412948993668,0.0012751010045705814,171.6138,171.6138,171.6138,3.429120173229743,3.2558451301935367,2.896535814089283,False
3612.242127201,25.6875,26.5,28.0625,53.5,3.2,3.3904,3.0288000000000004,0.84,0.0,38.975,0.0,0,0,0,0,0,0,124.29999999999976,129.49999999999946,120.1,120,120,120,9,9,9,200,200,200,0.0011511154717294173,0.0028913070998705537,0.0014690279972079424,171.6138,171.6138,171.6138,2.915023953361694,3.283145567155953,2.931230854240337,False
3613.24213191,25.625,26.5,28.0625,54.5,3.2048,3.3872000000000004,3.0384000000000007,0.84,0.0,39.315,0.005,0,0,0,0,0,0,124.29999999999976,130.4999999999994,120.1,120,120,120,9,9,9,200,200,200,0.0016911329229181427,0.002863585553419425,0.0016275160137971905,171.6138,171.6138,171.6138,3.004678049626342,3.3005864979044626,2.959479234053283,False
3614.242139639,25.625,26.5,28.0625,55.0,3.2096,3.3824,3.0496,0.84,-0.005,39.785,0.0,0,0,0,0,0,0,124.29999999999976,131.49999999999935,120.1,120,120,120,9,9,9,200,200,200,0.0020571706403891697,0.0028024135900570424,0.001755659943995883,171.6138,171.6138,171.6138,3.0673566433003856,3.312069732600544,2.9822857618951146,False
3615.242153534,25.6875,26.5,28.0625,55.0,3.2128,3.3808,3.0576,0.84,-0.0025,40.305,0.005,0,0,0,0,0,0,124.29999999999976,132.4999999999993,120.1,120,120,120,9,9,9,200,200,200,0.0021047059987093653,0.002716197668701887,0.0018657066220956289,171.6138,171.6138,171.6138,3.507030417116671,3.318306004665742,3.0013616851544604,False
3616.242167632,25.625,26.5625,28.0625,54.5,3.2144,3.376,3.0672,0.84,0.0,40.6775,0.0075,0,0,0,0,0,0,124.29999999999976,133.49999999999923,120.1,120,120,120,9,9,9,200,200,200,0.0020288623466614975,0.0026175096179163054,0.0019577571571335432,171.6138,171.6138,171.6138,3.440066615600587,3.3215876139306006,3.017256224359604,False
3617.242175323,25.6875,26.5,28.0625,54.5,3.2176,3.3712,3.0751999999999997,0.84,0.0,41.11,0.0075,0,0,0,0,0,0,124.29999999999976,134.49999999999918,120.1,120,120,120,9,9,9,200,200,200,0.0029299218887021135,0.00250294341455625,0.0020403272710028003,171.6138,171.6138,171.6138,2.981804171362371,3.3229386780719015,3.0310254640507437,False
3618.242176867,25.6875,26.5,28.0625,54.5,3.2192000000000003,3.3663999999999996,3.0831999999999997,0.84,-0.0025,41.6875,0.0,0,0,0,0,0,0,124.29999999999976,135.49999999999912,120.1,120,120,120,9,9,9,200,200,200,0.0034642878050652557,0.002378085257663993,0.00211360177893622,171.6138,171.6138,171.6138,3.065735764200081,3.32212042179731,3.0431352918750756,False
