Time (s),Temp0,Temp1,Temp2,Temp_CPU,Volt0,Volt1,Volt2,Volt_CPU,Curr0,Curr1,Curr2,Cyc0,Cyc1,Cyc2,Seq0,Seq1,Seq2,disval0,disval1,disval2,dislowval0,dislowval1,dislowval2,chgval0,chgval1,chgval2,chglowval0,chglowval1,chglowval2,estSOC0,estSOC1,estSOC2,estCAP0,estCAP1,estCAP2,estV0,estV1,estV2,heater_on?
2445.263060303,25.625,26.0,27.6875,55.0,3.6592000000000002,3.392,3.7007999999999996,0.84,-0.0025,-0.0075,0.0,0,0,0,0,0,0,146.99999999999847,124.99999999999972,147.9999999999984,120,120,120,9,9,9,200,200,200,0.0013551319226089333,-0.0007390711710531083,0.0024523743057273256,171.6138,171.6138,171.6138,0,0,0,False
2446.267913622,25.5625,26.0,27.6875,55.5,3.4751999999999996,3.2112,3.5184000000000006,0.84,45.2775,39.3125,45.62,0,0,0,0,0,0,146.89999999999847,125.3999999999997,147.9999999999984,120,120,120,9,9,9,200,200,200,0.0013551319226089333,-0.0007390711710531083,0.0024523743057273256,171.6138,171.6138,171.6138,0,0,0,False
2447.267918192,25.5625,26.0,27.6875,55.5,3.4624,3.1296,3.5184000000000006,0.84,45.3675,40.71,45.145,0,0,0,0,0,0,146.79999999999848,126.39999999999964,147.9999999999984,120,120,120,9,9,9,200,200,200,0.003862331122513096,0.004260424222824786,0.005850877724396739,171.6138,171.6138,171.6138,2.827982836561448,2.7724433086630462,2.873517965797217,False
2448.269072297,25.625,26.0,27.6875,56.4,3.4624,3.0976,3.5168000000000004,0.84,45.23,41.4925,45.195,0,0,0,0,0,0,146.69999999999848,127.39999999999958,147.9999999999984,120,120,120,9,9,9,200,200,200,0.00458241030387561,0.005722965587047574,0.006712412188653451,171.6138,171.6138,171.6138,3.0528452321091644,2.921417530068654,3.1367770635744057,False
2449.269078386,25.625,26.0,27.6875,56.4,3.4592,3.0688,3.5168000000000004,0.84,45.3,42.42,45.165,0,0,0,0,0,0,146.69999999999848,128.39999999999952,147.9999999999984,120,120,120,9,9,9,200,200,200,0.004982234108452528,0.0060593709899594474,0.007138186792425155,171.6138,171.6138,171.6138,3.1670555363104955,3.0103289600601864,3.2492948159335766,False
2450.269089846,25.625,26.0,27.6875,56.9,3.4576,3.0448000000000004,3.5168000000000004,0.84,45.2425,43.1175,45.1425,0,0,0,0,0,0,146.4999999999985,129.39999999999947,147.9999999999984,120,120,120,9,9,9,200,200,200,0.00522680935278894,0.006040941821049558,0.0073790577547003374,171.6138,171.6138,171.6138,3.2418103645259606,3.029646772877393,3.319770362413945,False
2451.269089861,25.625,26.0,27.6875,55.5,3.456,3.0240000000000005,3.5151999999999997,0.84,45.315,43.9475,45.2475,0,0,0,0,0,0,146.3999999999985,130.3999999999994,147.9999999999984,120,120,120,9,9,9,200,200,200,0.005373869426902407,0.00588858771710442,0.0075139735316392745,171.6138,171.6138,171.6138,3.2935876001384585,3.026313582204882,3.367268670755944,False
2452.269100524,25.625,26.0,27.6875,56.4,3.4544,3.0,3.5136000000000003,0.84,45.3825,44.6775,45.165,0,0,0,0,0,0,146.3999999999985,131.09999999999937,147.9999999999984,120,120,120,9,9,9,200,200,200,0.005452351190400007,0.0056864928014677,0.007576459485690369,171.6138,171.6138,171.6138,3.32923423260973,3.0135923673728584,3.3993146229026343,False
2453.269106521,25.625,26.0,27.6875,56.9,3.4544,2.9792,3.5104,0.84,45.48,44.9675,45.205,0,0,0,0,0,0,146.3999999999985,131.09999999999937,147.9999999999984,120,120,120,9,9,9,200,200,200,0.005479250624795602,0.0054448035855313315,0.007586309400176028,171.6138,171.6138,171.6138,3.353821219843654,2.9967456071354985,3.4214916856166897,False
2454.269114963,25.625,26.0,27.6875,56.9,3.456,2.9584000000000006,3.5151999999999997,0.84,45.4075,45.37,45.31,0,0,0,0,0,0,146.2999999999985,131.09999999999937,147.9999999999984,120,120,120,9,9,9,200,200,200,0.0054721199276690285,0.005186685964140406,0.00755682702130228,171.6138,171.6138,171.6138,3.3707712181291933,2.978672240253733,3.4356677432913054,False
2455.269127553,25.625,26.0,27.6875,56.0,3.4544,2.9455999999999998,3.5151999999999997,0.84,45.42,45.2075,45.2,0,0,0,0,0,0,146.1999999999985,130.99999999999937,147.9999999999984,120,120,120,9,9,9,200,200,200,0.005442592682767999,0.004921630422826054,0.007520469185369703,171.6138,171.6138,171.6138,3.3833738526078454,2.9591468275898793,3.445890725548518,False
2456.26913355,25.625,26.0,27.75,56.9,3.4544,2.9312,3.512,0.84,45.0075,45.3675,45.25,0,0,0,0,0,0,145.99999999999852,130.99999999999937,147.9999999999984,120,120,120,9,9,9,200,200,200,0.005390112919203679,0.004670397105794787,0.007463828339546224,171.6138,171.6138,171.6138,3.391752022646253,2.942262414815519,3.4541528514596065,False
2457.269147974,25.625,26.0,27.75,56.9,3.4576,2.912,3.5136000000000003,0.84,45.0,45.7375,45.1175,0,0,0,0,0,0,145.99999999999852,130.19999999999942,147.9999999999984,120,120,120,9,9,9,200,200,200,0.005321902428530971,0.004428014411741002,0.007387250134938044,171.6138,171.6138,171.6138,3.3984907486393623,2.9257306546025017,3.4587032955194323,False
2458.269157786,25.625,26.0,27.75,57.4,3.4544,2.8992000000000004,3.5104,0.84,45.1325,45.485,45.3425,0,0,0,0,0,0,145.99999999999852,129.79999999999944,147.9999999999984,120,120,120,9,9,9,200,200,200,0.005258366199589086,0.004177426797735765,0.007308812665332988,171.6138,171.6138,171.6138,3.4027564228001426,2.9083563854869756,3.4622048308585964,False
2459.269162192,25.625,26.0,27.75,56.4,3.4544,2.8832,3.512,0.84,45.0275,45.575,45.2525,0,0,0,0,0,0,145.99999999999852,129.19999999999948,147.9999999999984,120,120,120,9,9,9,200,200,200,0.005178949587897655,0.003933080546194511,0.007219665473421158,171.6138,171.6138,171.6138,3.405112254164063,2.893267761731361,3.4632314909901627,False
2460.269162745,25.625,26.0625,27.75,57.4,3.4528000000000003,2.8672000000000004,3.512,0.84,44.9775,45.4575,45.1425,0,0,0,0,0,0,145.99999999999852,128.9999999999995,147.9999999999984,120,120,120,9,9,9,200,200,200,0.005095976934657042,0.0036892503182676725,0.007133280086899339,171.6138,171.6138,171.6138,3.406883522012196,2.877474329383205,3.4646578808009036,False
2461.269168132,25.625,26.0625,27.75,57.4,3.4511999999999996,2.8512,3.5136000000000003,0.84,45.0675,45.645,45.27,0,0,0,0,0,0,145.99999999999852,128.29999999999953,147.9999999999984,120,120,120,9,9,9,200,200,200,0.005007522923251754,0.003442247137663898,0.007044949271822413,171.6138,171.6138,171.6138,3.4076728955850992,2.8621632682046316,3.4659966488447655,False
2462.269170408,25.625,26.0,27.75,57.4,3.4528000000000003,2.8384000000000005,3.5136000000000003,0.84,45.0325,45.4,45.1175,0,0,0,0,0,0,145.99999999999852,127.89999999999955,147.9999999999984,120,120,120,9,9,9,200,200,200,0.004917154632834509,0.003197231319984415,0.006963205913170221,171.6138,171.6138,171.6138,3.4072975753158956,2.8457962672642303,3.4666150651080776,False
2463.26917487,25.625,26.0,27.75,57.4,3.4511999999999996,2.8240000000000003,3.512,0.84,44.8375,45.6775,45.2325,0,0,0,0,0,0,145.99999999999852,127.39999999999958,147.9999999999984,120,120,120,9,9,9,200,200,200,0.004833860998006813,0.002957030849719051,0.006876765763595846,171.6138,171.6138,171.6138,3.40752145768415,2.831385764932993,3.468059694190246,False
2464.269180054,25.6875,26.0625,27.8125,57.4,3.4495999999999998,2.8096,3.5104,0.84,45.06,45.535,45.3225,0,0,0,0,0,0,145.99999999999852,126.89999999999961,147.9999999999984,120,120,120,9,9,9,200,200,200,0.004743613348192963,0.0027224354025812874,0.006786738402080669,171.6138,171.6138,171.6138,3.408112182381458,2.815849325760802,3.467975470639914,False
2465.269183386,25.6875,26.0625,27.8125,57.4,3.4511999999999996,2.792,3.5104,0.84,45.11,45.7725,45.235,0,0,0,0,0,0,145.99999999999852,126.19999999999965,147.9999999999984,120,120,120,9,9,9,200,200,200,0.0046547629255580805,0.0024848945253077848,0.006693393011572429,171.6138,171.6138,171.6138,3.406814286243685,2.801819153946292,3.4673946791022376,False
2466.269191255,25.6875,26.0625,27.8125,57.4,3.4495999999999998,2.7807999999999997,3.5104,0.84,45.05,45.5375,45.1675,0,0,0,0,0,0,145.99999999999852,125.79999999999967,147.9999999999984,120,120,120,9,9,9,200,200,200,0.00457365125924351,0.0022417358831684684,0.0066013218314213366,171.6138,171.6138,171.6138,3.4065070519583216,2.7859853423327507,3.4672617802644305,False
2467.269203198,25.6875,26.0625,27.8125,57.4,3.4511999999999996,2.7632,3.5088000000000004,0.84,45.005,45.2475,45.235,0,0,0,0,0,0,145.99999999999852,124.99999999999972,147.9999999999984,120,120,120,9,9,9,200,200,200,0.004486332267226347,0.002007221290540788,0.006511157211950625,171.6138,171.6138,171.6138,3.406577051307171,2.7720998060246527,3.4671734885094185,False
2468.272894412,25.75,26.0625,27.75,57.9,3.448,2.7472000000000003,3.5104,0.84,45.1,45.61,45.2725,0,0,0,0,0,0,145.99999999999852,124.69999999999973,147.9999999999984,120,120,120,9,9,9,200,200,200,0.004406540118607921,0.0017608159002138917,0.0064187413949659084,171.6138,171.6138,171.6138,3.406662804019549,2.758096954693526,3.4664483876889456,False
2469.272908855,25.75,26.0625,27.8125,57.9,3.448,3.1007999999999996,3.5072,0.84,44.9275,-0.005,45.2525,0,0,0,0,0,0,146.09999999999852,124.69999999999973,147.9999999999984,120,120,120,9,9,9,200,200,200,0.004316727684617341,0.0015180095253130045,0.006333979477783209,171.6138,171.6138,171.6138,3.4059101325051926,2.7413529509766335,3.466065929423275,False
2470.272917336,25.6875,26.0625,27.8125,56.9,3.4495999999999998,3.1663999999999994,3.5088000000000004,0.84,45.02,-0.0025,45.2925,0,0,0,0,0,0,146.09999999999852,124.69999999999973,147.9999999999984,120,120,120,9,9,9,200,200,200,0.0042291758446061575,0.006014283918832607,0.006239134820302013,171.6138,171.6138,171.6138,3.405678663801632,3.317999324853771,3.4656659432931853,False
2471.272918151,25.6875,26.0625,27.8125,57.4,3.448,3.1936000000000004,3.5088000000000004,0.84,44.9025,-0.0025,45.2375,0,0,0,0,0,0,146.09999999999852,124.69999999999973,147.9999999999984,120,120,120,9,9,9,200,200,200,0.0041520677730503535,0.008241318786685463,0.006154364859074697,171.6138,171.6138,171.6138,3.4051854106929498,3.3251714610085044,3.4650369833622294,False
2472.272935354,25.75,26.0625,27.8125,57.9,3.4463999999999997,3.2096,3.5104,0.84,44.9325,-0.0075,45.23,0,0,0,0,0,0,146.09999999999852,124.69999999999973,147.9999999999984,120,120,120,9,9,9,200,200,200,0.004067310740303364,0.009353035350639551,0.006069286148676079,171.6138,171.6138,171.6138,3.4053973867215257,3.320782267628325,3.4651820799606385,False
2473.272943409,25.6875,26.0625,27.8125,57.9,3.448,3.2192000000000003,3.5088000000000004,0.84,45.0425,-0.005,45.3,0,0,0,0,0,0,146.09999999999852,124.69999999999973,147.9999999999984,120,120,120,9,9,9,200,200,200,0.003980775403300766,0.009871994011432766,0.0059903965147025985,171.6138,171.6138,171.6138,3.404541206498887,3.314085663051912,3.4654810192947982,False
2474.272956224,25.75,26.0625,27.8125,56.9,3.4448000000000003,3.2288,3.5088000000000004,0.84,44.9825,-0.005,45.305,0,0,0,0,0,0,146.09999999999852,124.69999999999973,147.9999999999984,120,120,120,9,9,9,200,200,200,0.0039044883090302174,0.010061392010106088,0.005905665747805292,171.6138,171.6138,171.6138,3.403827371557132,3.3071361923177465,3.465397095142244,False
2475.272962187,25.6875,26.0625,27.8125,57.9,3.4463999999999997,3.2336000000000005,3.5072,0.84,44.9775,-0.005,45.2425,0,0,0,0,0,0,146.09999999999852,124.69999999999973,147.9999999999984,120,120,120,9,9,9,200,200,200,0.0038160129471077886,0.010062092746174785,0.005821851929286589,171.6138,171.6138,171.6138,3.4034624612963715,3.301200156268165,3.465220343897218,False
2476.272972854,25.6875,26.125,27.8125,57.9,3.4448000000000003,3.2384000000000004,3.5072,0.84,44.9425,0.0,45.275,0,0,0,0,0,0,146.09999999999852,124.69999999999973,147.9999999999984,120,120,120,9,9,9,200,200,200,0.0037379550618513867,0.009958945089683036,0.00573296039221648,171.6138,171.6138,171.6138,3.4028573931587904,3.296423741054794,3.4649712908644497,False
2477.272980373,25.6875,26.0625,27.875,57.9,3.4448000000000003,3.2463999999999995,3.5072,0.84,44.9675,0.0,45.19,0,0,0,0,0,0,146.09999999999852,124.69999999999973,147.9999999999984,120,120,120,9,9,9,200,200,200,0.00365492545776129,0.012357974331373464,0.005647946393804888,171.6138,171.6138,171.6138,3.4025344160109223,3.1242949574534706,3.464291398123908,False
2478.274146556,25.6875,26.125,27.875,57.9,3.4448000000000003,3.2512,3.5056,0.84,45.0375,-0.0075,45.2325,0,0,0,0,0,0,146.09999999999852,124.69999999999973,147.9999999999984,120,120,120,9,9,9,200,200,200,0.003575429257762198,0.013576356174412952,0.005563714375006699,171.6138,171.6138,171.6138,3.401888870109812,3.170756243400412,3.4641935095791476,False
2479.27415326,25.75,26.125,27.8125,57.9,3.4448000000000003,3.2544,3.5088000000000004,0.84,45.0325,-0.0025,45.265,0,0,0,0,0,0,146.09999999999852,124.69999999999973,147.9999999999984,120,120,120,9,9,9,200,200,200,0.003498342735978,0.01403300885166576,0.005476609730142011,171.6138,171.6138,171.6138,3.4013389053390015,3.337944553083615,3.46345550700972,False
2480.274166446,25.6875,26.0625,27.875,57.9,3.4432,3.2576,3.5072,0.84,44.9975,-0.0025,45.32,0,0,0,0,0,0,146.09999999999852,124.69999999999973,147.9999999999984,120,120,120,9,9,9,200,200,200,0.0034221345279166725,0.014217272047610141,0.005403839238342143,171.6138,171.6138,171.6138,3.401207323643868,3.3304764323291,3.4634053001289855,False
2481.274167503,25.75,26.0625,27.875,57.4,3.4416,3.2607999999999997,3.5056,0.84,45.07,0.0025,45.1975,0,0,0,0,0,0,146.09999999999852,124.69999999999973,147.9999999999984,120,120,120,9,9,9,200,200,200,0.0033409159477540535,0.014239046804707018,0.005323752567746046,171.6138,171.6138,171.6138,3.4008821928463755,3.325063125997195,3.4635395057396874,False
2482.274180393,25.75,26.125,27.875,58.4,3.4416,3.2640000000000002,3.5072,0.84,45.0625,-0.005,45.31,0,0,0,0,0,0,146.09999999999852,124.69999999999973,147.9999999999984,120,120,120,9,9,9,200,200,200,0.0032583835577684635,0.01579313865773418,0.005237350347372606,171.6138,171.6138,171.6138,3.3997749039796874,3.175507003357856,3.46347960087359,False
