Time (s),Temp0,Temp1,Temp2,Temp_CPU,Volt0,Volt1,Volt2,Volt_CPU,Curr0,Curr1,Curr2,Cyc0,Cyc1,Cyc2,Seq0,Seq1,Seq2,disval0,disval1,disval2,dislowval0,dislowval1,dislowval2,chgval0,chgval1,chgval2,chglowval0,chglowval1,chglowval2,estSOC0,estSOC1,estSOC2,estCAP0,estCAP1,estCAP2,estV0,estV1,estV2,heater_on?
2849.789490249,26.1875,26.1875,28.0,50.6,3.4656,3.4112,3.6368,0.84,-0.0025,0.0,-0.0025,0,0,0,0,0,0,145.99999999999852,124.69999999999973,147.8999999999984,120,120,120,9,9,9,200,200,200,0.0008799975206167269,0.0368898265206577,-0.00041638035524107163,171.6138,171.6138,171.6138,0,0,0,False
2850.789499693,26.1875,26.1875,28.0,50.6,3.216,3.5984000000000007,3.4240000000000004,0.84,47.9175,-44.59,46.0875,0,1,0,0,0,0,145.69999999999854,124.69999999999973,147.59999999999843,120,120,120,9,7.9,9,200,200,200,0.0008799975206167269,0.0368898265206577,-0.00041638035524107163,171.6138,171.6138,171.6138,0,0,0,False
2851.789511377,26.1875,26.1875,28.0,50.6,3.1311999999999998,3.6144000000000003,3.4128000000000003,0.84,48.8475,-44.5675,45.8225,0,1,0,0,0,0,144.6999999999986,124.69999999999973,146.5999999999985,120,120,120,9,7.9,9,200,200,200,0.003089866135696752,0.036896524581890314,0.008962684315355657,171.6138,171.6138,171.6138,2.744399877507912,3.668372927056092,2.7811555948047237,False
2852.789522987,26.1875,26.1875,28.0,50.6,3.1136000000000004,3.6224000000000003,3.4128000000000003,0.84,48.54,-44.565,45.4,0,1,0,0,0,0,143.69999999999865,124.69999999999973,145.99999999999852,120,120,120,9,7.9,9,200,200,200,0.003446136466413917,0.037107429997762724,0.009628934801016382,171.6138,171.6138,171.6138,2.9003321053310183,3.661171900890745,3.1788138903178074,False
2853.789533079,26.1875,26.25,28.0,50.6,3.1056,3.632,3.408,0.84,47.97,-44.5575,45.32,0,1,0,0,0,0,142.6999999999987,124.69999999999973,145.89999999999853,120,120,120,9,7.9,9,200,200,200,0.0036078916819735733,0.03729989993967523,0.009927404018664572,171.6138,171.6138,171.6138,2.9570319863375256,3.657538648267054,3.2513766275330664,False
2854.789544559,26.125,26.25,28.0,51.1,3.1040000000000005,3.6384000000000007,3.4112,0.84,47.7375,-44.5575,45.365,0,1,0,0,0,0,141.69999999999877,124.69999999999973,145.69999999999854,120,120,120,9,7.9,9,200,200,200,0.003677017161572351,0.03749572111690417,0.010062984750202692,171.6138,171.6138,171.6138,2.992625705914324,3.65675135683368,3.292460279790963,False
2855.789551558,26.1875,26.1875,28.0,51.6,3.1040000000000005,3.6431999999999998,3.4063999999999997,0.84,47.3225,-44.5575,45.3375,0,1,0,0,0,0,140.69999999999882,124.69999999999973,145.69999999999854,120,120,120,9,7.9,9,200,200,200,0.0036996219204555626,0.03769628297736036,0.010130866303653662,171.6138,171.6138,171.6138,3.0154054283048732,3.6574892339861935,3.318620763500135,False
2856.789562002,26.125,26.25,28.0,51.6,3.1024000000000003,3.648,3.408,0.84,46.75,-44.5525,45.4675,0,1,0,0,0,0,139.69999999999888,124.69999999999973,145.59999999999854,120,120,120,9,7.9,9,200,200,200,0.0036878973840022895,0.03790056164430652,0.010131086999616944,171.6138,171.6138,171.6138,3.031709520598497,3.659045951784535,3.3357113310888407,False
2857.78956539,26.125,26.25,28.0,52.1,3.1024000000000003,3.6544,3.4063999999999997,0.84,46.3975,-44.555,45.43,0,1,0,0,0,0,138.69999999999894,124.69999999999973,145.39999999999856,120,120,120,9,7.9,9,200,200,200,0.0036448317244279303,0.038109987046147445,0.010109316459596021,171.6138,171.6138,171.6138,3.0432174835278873,3.6612013406122297,3.3462851459524567,False
2858.789567112,26.1875,26.3125,28.0,52.1,3.1056,3.6576,3.4048000000000003,0.84,45.7975,-44.555,45.5675,0,1,0,0,0,0,137.699999999999,124.69999999999973,145.09999999999857,120,120,120,9,7.9,9,200,200,200,0.0035884359215766813,0.03833029171437035,0.010059718722363421,171.6138,171.6138,171.6138,3.050379421393162,3.664116136702823,3.353780924960513,False
2859.789569445,26.1875,26.3125,28.0625,53.5,3.1072,3.6640000000000006,3.408,0.84,45.4,-44.5525,45.05,0,1,0,0,0,0,136.99999999999903,124.69999999999973,144.99999999999858,120,120,120,9,7.9,9,200,200,200,0.003530094205858654,0.038549983859158435,0.009994874470188014,171.6138,171.6138,171.6138,3.056732653946306,3.6670333452451285,3.3577287022737186,False
2860.789571259,26.1875,26.3125,28.0,52.5,3.1072,3.6672000000000002,3.408,0.84,45.4375,-44.555,45.06,0,1,0,0,0,0,136.99999999999903,124.69999999999973,144.99999999999858,120,120,120,9,7.9,9,200,200,200,0.0034682095535954922,0.03878114488429809,0.009928278665434035,171.6138,171.6138,171.6138,3.0614866419784326,3.670496530076127,3.3626039786678827,False
2861.789578629,26.125,26.375,28.0,51.6,3.1040000000000005,3.6736000000000004,3.4048000000000003,0.84,45.4775,-44.555,45.045,0,1,0,0,0,0,136.99999999999903,124.69999999999973,144.99999999999858,120,120,120,9,7.9,9,200,200,200,0.00340333827598242,0.039010885300507794,0.009858358557589817,171.6138,171.6138,171.6138,3.0638165599818072,3.6738419129429634,3.3650693192226724,False
2862.789586869,26.1875,26.375,28.0,52.1,3.1024000000000003,3.6768,3.4063999999999997,0.84,45.4275,-44.555,45.015,0,1,0,0,0,0,136.89999999999904,124.69999999999973,144.99999999999858,120,120,120,9,7.9,9,200,200,200,0.0033231736500983823,0.03925201104676793,0.009772651801940509,171.6138,171.6138,171.6138,3.064736051577927,3.6776303558714507,3.3661371852961985,False
