time,v0,v1,v2,c0,c1,c2,t0,t1,t2
21792.0,3.93359375,3.94921875,3.908203125,-43.9375,-44.5625,-43.75,26.5625,27.0,30.25
21792.0,3.939453125,3.951171875,3.912109375,-44.71875,-44.5625,-44.5,26.5625,27.0,30.1875
21792.0,3.94140625,3.958984375,3.91796875,-44.71875,-44.5625,-45.25,26.625,27.0625,30.25
21792.0,3.947265625,3.9609375,3.919921875,-44.71875,-44.5625,-45.25,26.625,27.125,30.3125
21808.0,3.947265625,3.9609375,3.923828125,-44.71875,-44.5625,-45.28125,26.625,27.125,30.25
21808.0,3.94921875,3.96484375,3.923828125,-44.71875,-44.5625,-45.25,26.625,27.125,30.1875
21808.0,3.951171875,3.96875,3.927734375,-44.71875,-44.5625,-45.25,26.6875,27.125,30.25
21808.0,3.953125,3.96875,3.92578125,-44.71875,-44.5625,-45.25,26.6875,27.1875,30.25
21808.0,3.953125,3.970703125,3.927734375,-44.71875,-44.5625,-45.28125,26.75,27.1875,30.25
21808.0,3.955078125,3.97265625,3.9296875,-44.71875,-44.53125,-45.25,26.8125,27.25,30.25
21808.0,3.958984375,3.97265625,3.93359375,-44.71875,-44.5625,-45.25,26.8125,27.25,30.25
21808.0,3.9609375,3.974609375,3.931640625,-44.71875,-44.53125,-45.28125,26.875,27.25,30.3125
21808.0,3.9609375,3.9765625,3.93359375,-44.71875,-44.5625,-45.28125,26.9375,27.3125,30.3125
21808.0,3.962890625,3.978515625,3.93359375,-44.71875,-44.53125,-45.25,26.9375,27.25,30.25
21808.0,3.9609375,3.98046875,3.93359375,-44.71875,-44.53125,-45.25,26.9375,27.25,30.25
21808.0,3.962890625,3.978515625,3.93359375,-44.71875,-44.53125,-45.25,27.0,27.25,30.4375
21872.0,3.998046875,4.015625,3.96875,-44.71875,-44.53125,-45.25,27.9375,28.25,30.9375
21872.0,3.998046875,4.015625,3.96875,-44.71875,-44.53125,-45.25,27.9375,28.25,30.9375
21872.0,3.99609375,4.015625,3.96875,-44.71875,-44.53125,-45.25,27.9375,28.1875,31.0
21888.0,3.998046875,4.015625,3.96875,-44.71875,-44.53125,-45.25,28.0,28.25,31.0
21888.0,3.998046875,4.015625,3.96875,-44.71875,-44.53125,-45.25,28.0,28.25,30.9375
21888.0,3.99609375,4.015625,3.96875,-44.71875,-44.53125,-45.25,28.0,28.3125,31.0
21888.0,3.998046875,4.01953125,3.96875,-44.71875,-44.53125,-45.25,28.0,28.3125,31.0
21888.0,3.998046875,4.015625,3.96875,-44.71875,-44.53125,-45.25,28.0,28.3125,31.0
21888.0,3.998046875,4.015625,3.96875,-44.71875,-44.53125,-45.25,28.0,28.3125,31.0
21888.0,3.998046875,4.015625,3.96875,-44.71875,-44.53125,-45.25,28.0625,28.25,31.0
21888.0,4.0,4.015625,3.96875,-44.71875,-44.53125,-45.25,28.0625,28.375,31.0
21888.0,3.99609375,4.01953125,3.96875,-44.71875,-44.53125,-45.25,28.0625,28.375,31.0625
21888.0,4.0,4.01953125,3.96875,-44.71875,-44.53125,-45.25,28.0625,28.375,31.0625
21888.0,3.998046875,4.01953125,3.970703125,-44.71875,-44.53125,-45.28125,28.0625,28.375,31.0625
21888.0,4.0,4.01953125,3.96875,-44.71875,-44.53125,-45.25,28.0625,28.375,31.0625
21888.0,4.0,4.01953125,3.97265625,-44.71875,-44.53125,-45.25,28.125,28.4375,31.0625
21888.0,3.998046875,4.01953125,3.970703125,-44.71875,-44.53125,-45.25,28.0,28.375,31.0625
21888.0,4.0,4.01953125,3.97265625,-44.71875,-44.53125,-45.25,28.125,28.375,31.0625
21888.0,3.998046875,4.01953125,3.97265625,-44.71875,-44.53125,-45.25,28.125,28.4375,31.0625
21904.0,4.0,4.01953125,3.97265625,-44.71875,-44.53125,-45.25,28.125,28.375,31.0625
21904.0,4.0,4.01953125,3.970703125,-44.71875,-44.53125,-45.25,28.0625,28.4375,31.125
21904.0,4.0,4.01953125,3.970703125,-44.71875,-44.53125,-45.25,28.125,28.375,31.0625
21904.0,4.0,4.01953125,3.97265625,-44.71875,-44.53125,-45.25,28.0625,28.375,31.0625
21904.0,4.00390625,4.01953125,3.97265625,-44.71875,-44.53125,-45.25,28.125,28.375,31.0625
21904.0,4.0,4.01953125,3.97265625,-44.71875,-44.53125,-45.25,28.1875,28.5,31.1875
21904.0,4.0,4.01953125,3.970703125,-44.71875,-44.53125,-45.25,28.125,28.4375,31.125
21904.0,4.0,4.01953125,3.97265625,-44.71875,-44.53125,-45.25,28.125,28.4375,31.0
21904.0,4.0,4.01953125,3.974609375,-44.71875,-44.53125,-45.25,28.1875,28.5,31.125
21904.0,4.00390625,4.0234375,3.974609375,-44.71875,-44.53125,-45.25,28.1875,28.4375,31.1875
21904.0,4.0,4.01953125,3.97265625,-44.71875,-44.53125,-45.25,28.1875,28.4375,31.125
21904.0,4.00390625,4.0234375,3.974609375,-44.71875,-44.53125,-45.25,28.1875,28.4375,31.0625
21904.0,4.0,4.0234375,3.974609375,-44.71875,-44.53125,-45.25,28.1875,28.5,31.1875
21904.0,4.00390625,4.0234375,3.9765625,-44.71875,-44.53125,-45.25,28.1875,28.5,31.125
21904.0,4.0,4.01953125,3.97265625,-44.71875,-44.53125,-45.25,28.25,28.4375,31.125
21904.0,4.0,4.01953125,3.9765625,-44.71875,-44.53125,-45.25,28.1875,28.5,31.25
21920.0,4.00390625,4.01953125,3.9765625,-44.71875,-44.53125,-45.25,28.25,28.5,31.1875
21920.0,4.00390625,4.01953125,3.978515625,-44.71875,-44.53125,-45.25,28.25,28.5,31.1875
21920.0,4.00390625,4.0234375,3.9765625,-44.71875,-44.53125,-45.25,28.25,28.5625,31.1875
21920.0,4.00390625,4.0234375,3.978515625,-44.71875,-44.53125,-45.25,28.25,28.5625,31.1875
21920.0,4.0,4.0234375,3.974609375,-44.71875,-44.53125,-45.25,28.25,28.5625,31.25
21920.0,4.00390625,4.0234375,3.978515625,-44.71875,-44.53125,-45.25,28.3125,28.5625,31.25
21920.0,4.00390625,4.01953125,3.9765625,-44.71875,-44.53125,-45.25,28.25,28.5625,31.1875
21920.0,4.00390625,4.0234375,3.978515625,-44.71875,-44.53125,-45.25,28.3125,28.5625,31.1875
21920.0,4.00390625,4.0234375,3.9765625,-44.71875,-44.53125,-45.25,28.3125,28.5625,31.25
21920.0,4.00390625,4.0234375,3.9765625,-44.71875,-44.53125,-45.25,28.3125,28.625,31.25
21920.0,4.00390625,4.0234375,3.978515625,-44.71875,-44.53125,-45.25,28.3125,28.5625,31.25
21920.0,4.00390625,4.0234375,3.9765625,-44.71875,-44.53125,-45.25,28.3125,28.625,31.25
21920.0,4.0078125,4.0234375,3.978515625,-44.71875,-44.53125,-45.25,28.3125,28.625,31.3125
21920.0,4.00390625,4.0234375,3.978515625,-44.71875,-44.53125,-45.25,28.25,28.5625,31.25
21920.0,4.00390625,4.0234375,3.978515625,-44.71875,-44.53125,-45.25,28.3125,28.625,31.25
21920.0,4.0078125,4.02734375,3.978515625,-44.71875,-44.53125,-45.25,28.375,28.625,31.3125
21936.0,4.0078125,4.0234375,3.978515625,-44.71875,-44.53125,-45.25,28.3125,28.625,31.3125
21936.0,4.0078125,4.0234375,3.978515625,-44.71875,-44.53125,-45.25,28.375,28.625,31.3125
21936.0,4.0078125,4.0234375,3.978515625,-44.71875,-44.53125,-45.25,28.375,28.6875,31.3125
21936.0,4.0078125,4.02734375,3.978515625,-44.71875,-44.53125,-45.25,28.375,28.625,31.3125
21936.0,4.0078125,4.0234375,3.978515625,-44.71875,-44.53125,-45.25,28.3125,28.625,31.3125
21936.0,4.0078125,4.0234375,3.978515625,-44.71875,-44.53125,-45.25,28.375,28.6875,31.25
21936.0,4.0078125,4.02734375,3.978515625,-44.71875,-44.53125,-45.25,28.375,28.6875,31.25
21936.0,4.0078125,4.0234375,3.978515625,-44.71875,-44.53125,-45.25,28.375,28.6875,31.3125
21936.0,4.0078125,4.02734375,3.978515625,-44.71875,-44.53125,-45.25,28.4375,28.6875,31.375
21936.0,4.0078125,4.0234375,3.978515625,-44.71875,-44.53125,-45.25,28.4375,28.75,31.375
21936.0,4.0078125,4.0234375,3.98046875,-44.71875,-44.53125,-45.25,28.4375,28.75,31.375
21936.0,4.0078125,4.02734375,3.98046875,-44.71875,-44.53125,-45.25,28.4375,28.75,31.375
21936.0,4.0078125,4.02734375,3.978515625,-44.71875,-44.53125,-45.25,28.375,28.75,31.4375
21936.0,4.0078125,4.02734375,3.978515625,-44.71875,-44.53125,-45.25,28.4375,28.75,31.375
21936.0,4.0078125,4.02734375,3.98046875,-44.71875,-44.53125,-45.25,28.4375,28.75,31.4375
21952.0,4.0078125,4.02734375,3.98046875,-44.71875,-44.53125,-45.25,28.375,28.75,31.4375
21952.0,4.0078125,4.02734375,3.98046875,-44.71875,-44.53125,-45.25,28.4375,28.8125,31.4375
21952.0,4.0078125,4.02734375,3.98046875,-44.71875,-44.53125,-45.25,28.4375,28.75,31.375
21952.0,4.0078125,4.02734375,3.98046875,-44.71875,-44.53125,-45.25,28.5,28.8125,31.375
21952.0,4.0078125,4.02734375,3.984375,-44.71875,-44.53125,-45.25,28.5,28.8125,31.375
21952.0,4.0078125,4.02734375,3.982421875,-44.71875,-44.53125,-45.25,28.5,28.9375,31.375
21952.0,4.0078125,4.02734375,3.982421875,-44.71875,-44.53125,-45.25,28.4375,28.8125,31.375
21952.0,4.01171875,4.02734375,3.982421875,-44.71875,-44.53125,-45.25,28.5,28.8125,31.4375
21952.0,4.0078125,4.02734375,3.984375,-44.71875,-44.53125,-45.25,28.5,28.75,31.4375
21952.0,4.0078125,4.02734375,3.982421875,-44.71875,-44.53125,-45.25,28.5,28.75,31.4375
21952.0,4.0078125,4.02734375,3.982421875,-44.71875,-44.53125,-45.25,28.5,28.8125,31.4375
21952.0,4.01171875,4.02734375,3.982421875,-44.71875,-44.53125,-45.25,28.5,28.875,31.375
21952.0,4.01171875,4.03125,3.98046875,-44.71875,-44.53125,-45.25,28.5,28.875,31.4375
21952.0,4.0078125,4.02734375,3.982421875,-44.71875,-44.53125,-45.25,28.3125,28.8125,31.4375
21808.0,3.962890625,3.982421875,3.9375,-44.71875,-44.53125,-45.25,27.0,27.375,30.3125
21808.0,3.966796875,3.982421875,3.9375,-44.71875,-44.53125,-45.25,27.0,27.3125,30.375
21808.0,3.966796875,3.984375,3.94140625,-44.71875,-44.5625,-45.25,27.0625,27.4375,30.4375
21808.0,3.966796875,3.986328125,3.943359375,-44.71875,-44.53125,-45.25,27.125,27.375,30.375
21824.0,3.96875,3.986328125,3.943359375,-44.71875,-44.53125,-45.25,27.1875,27.375,30.375
21824.0,3.96875,3.986328125,3.943359375,-44.71875,-44.53125,-45.25,27.125,27.5,30.375
21824.0,3.970703125,3.98828125,3.943359375,-44.71875,-44.53125,-45.25,27.1875,27.4375,30.4375
21824.0,3.96875,3.990234375,3.943359375,-44.71875,-44.53125,-45.25,27.125,27.5,30.375
21952.0,4.01171875,4.02734375,3.984375,-44.71875,-44.53125,-45.25,28.5625,28.875,31.5
21952.0,4.01171875,4.02734375,3.982421875,-44.71875,-44.53125,-45.25,28.5625,28.875,31.3125
21968.0,4.0078125,4.02734375,3.984375,-44.71875,-44.53125,-45.25,28.5,28.75,31.5
21968.0,4.01171875,4.02734375,3.984375,-44.71875,-44.53125,-45.25,28.5625,28.8125,31.4375
21968.0,4.01171875,4.02734375,3.984375,-44.71875,-44.53125,-45.25,28.5,28.8125,31.4375
21968.0,4.01171875,4.02734375,3.986328125,-44.71875,-44.53125,-45.25,28.5625,28.9375,31.4375
21968.0,4.01171875,4.02734375,3.986328125,-44.71875,-44.53125,-45.25,28.5625,28.875,31.4375
21968.0,4.01171875,4.02734375,3.986328125,-44.71875,-44.53125,-45.25,28.5625,28.875,31.5
21968.0,4.01171875,4.03125,3.986328125,-44.71875,-44.53125,-45.25,28.5625,28.9375,31.5
21968.0,4.0078125,4.02734375,3.986328125,-44.71875,-44.53125,-45.25,28.625,28.875,31.5625
21968.0,4.015625,4.03125,3.986328125,-44.71875,-44.53125,-45.25,28.5625,28.9375,31.5625
21968.0,4.01171875,4.02734375,3.986328125,-44.71875,-44.53125,-45.25,28.625,28.9375,31.5
21968.0,4.01171875,4.03125,3.986328125,-44.71875,-44.53125,-45.25,28.625,28.9375,31.5
21968.0,4.015625,4.03125,3.986328125,-44.71875,-44.53125,-45.25,28.5625,28.9375,31.5625
21968.0,4.01171875,4.02734375,3.984375,-44.71875,-44.53125,-45.25,28.625,28.9375,31.5625
21968.0,4.01171875,4.02734375,3.986328125,-44.71875,-44.53125,-45.25,28.625,28.9375,31.5625
21968.0,4.01171875,4.03125,3.986328125,-44.71875,-44.53125,-45.25,28.625,29.0,31.5625
21968.0,4.015625,4.03125,3.986328125,-44.71875,-44.53125,-45.25,28.5625,29.0,31.5625
21984.0,4.015625,4.03125,3.986328125,-44.71875,-44.53125,-45.25,28.625,28.9375,31.5625
21984.0,4.01171875,4.03125,3.986328125,-44.71875,-44.53125,-45.25,28.625,29.0,31.5625
21984.0,4.015625,4.03125,3.986328125,-44.71875,-44.53125,-45.25,28.6875,28.9375,31.5
21984.0,4.01171875,4.03125,3.986328125,-44.71875,-44.53125,-45.25,28.625,29.0,31.5625
21984.0,4.01171875,4.03125,3.986328125,-44.71875,-44.53125,-45.25,28.625,29.0625,31.5
21984.0,4.015625,4.03125,3.990234375,-44.71875,-44.53125,-45.25,28.6875,29.0,31.5625
21984.0,4.015625,4.03125,3.990234375,-44.71875,-44.53125,-45.25,28.6875,29.0,31.5625
21984.0,4.015625,4.03125,3.986328125,-44.71875,-44.53125,-45.25,28.6875,29.0,31.5625
21984.0,4.01171875,4.03125,3.98828125,-44.71875,-44.53125,-45.25,28.6875,29.0,31.5625
21984.0,4.015625,4.03515625,3.98828125,-44.71875,-44.53125,-45.25,28.6875,29.0,31.5625
21984.0,4.015625,4.03515625,3.98828125,-44.71875,-44.53125,-45.25,28.6875,29.0625,31.625
21984.0,4.015625,4.03515625,3.990234375,-44.71875,-44.53125,-45.25,28.6875,29.0625,31.5625
21984.0,4.01171875,4.03515625,3.98828125,-44.71875,-44.53125,-45.25,28.6875,29.1875,31.625
21984.0,4.015625,4.03515625,3.986328125,-44.71875,-44.53125,-45.25,28.6875,29.0625,31.5625
21984.0,4.015625,4.03515625,3.98828125,-44.71875,-44.53125,-45.25,28.6875,29.0625,31.625
21984.0,4.015625,4.03515625,3.98828125,-44.71875,-44.53125,-45.25,28.75,29.0625,31.625
22000.0,4.01953125,4.03515625,3.990234375,-44.71875,-44.53125,-45.25,28.75,29.0625,31.625
22000.0,4.015625,4.03515625,3.990234375,-44.71875,-44.53125,-45.25,28.75,29.125,31.6875
22000.0,4.01953125,4.03515625,3.990234375,-44.71875,-44.53125,-45.25,28.75,29.0625,31.5625
22000.0,4.015625,4.03515625,3.98828125,-44.71875,-44.53125,-45.25,28.75,29.0625,31.625
22000.0,4.015625,4.03515625,3.990234375,-44.71875,-44.53125,-45.25,28.75,29.0625,31.625
22000.0,4.015625,4.03515625,3.98828125,-44.71875,-44.53125,-45.25,28.75,29.0625,31.5
