time,ch0_soc,ch0_volt,ch0_cov00,ch0_cov11,ch0_cap,ch0_covp,ch1_soc,ch1_volt,ch1_cov00,ch1_cov11,ch1_cap,ch1_covp,ch2_soc,ch2_volt,ch2_cov00,ch2_cov11,ch2_cap,ch2_covp
21792.0,0.00015605619410052896,3.417181968688965,1.098710185942764e-06,0.0009376507950946689,171.61380004882812,0.10000000149011612,0.00016040215268731117,3.418822765350342,1.098710185942764e-06,0.0009376507950946689,171.61380004882812,0.10000000149011612,0.00014930595352780074,3.415485143661499,1.098710185942764e-06,0.0009376507950946689,171.61380004882812,0.10000000149011612
21792.0,0.0006680185906589031,3.479741096496582,2.0945533378835535e-06,0.001632518833503127,171.61380004882812,0.10000000149011612,0.0006818916299380362,3.48191237449646,2.0945537926309044e-06,0.0016325187170878053,171.61380004882812,0.10000000149011612,0.0006475281552411616,3.475231647491455,2.094552655762527e-06,0.001632518833503127,171.61380004882812,0.10000000149011612
21792.0,0.0012309879530221224,3.547534465789795,3.0868957310303813e-06,0.0021059082355350256,171.61380004882812,0.10000000149011612,0.0012542200274765491,3.551797389984131,3.086898232140811e-06,0.0021059077698737383,171.61380004882812,0.10000000149011612,0.0011968986364081502,3.541285514831543,3.0868918656778987e-06,0.0021059089340269566,171.61380004882812,0.10000000149011612
21792.0,0.0018052358645945787,3.612112045288086,4.075803644809639e-06,0.0024112092796713114,171.61380004882812,0.10000000149011612,0.0018343497067689896,3.617619514465332,4.075811375514604e-06,0.002411207417026162,171.61380004882812,0.10000000149011612,0.001757720485329628,3.6027584075927734,4.075793185620569e-06,0.0024112118408083916,171.61380004882812,0.10000000149011612
21824.0,0.009453057311475277,3.892839193344116,2.0531186237349175e-05,0.003008841536939144,171.61380004882812,0.10000000149011612,0.00958274770528078,3.906867027282715,2.0532257622107863e-05,0.0030085528269410133,171.61380004882812,0.10000000149011612,0.009273928590118885,3.8709871768951416,2.0529720131889917e-05,0.00300923571921885,171.61380004882812,0.10000000149011612
21824.0,0.009869338013231754,3.895596504211426,2.1479065253515728e-05,0.0030166413635015488,171.61380004882812,0.10000000149011612,0.01000212412327528,3.909484624862671,2.1480289433384314e-05,0.0030163219198584557,171.61380004882812,0.10000000149011612,0.009682879783213139,3.8736445903778076,2.147738814528566e-05,0.0030170779209583998,171.61380004882812,0.10000000149011612
21824.0,0.010282540693879128,3.8971309661865234,2.2424552298616618e-05,0.003024281235411763,171.61380004882812,0.10000000149011612,0.010422834195196629,3.9105637073516846,2.2425936549552716e-05,0.0030239317566156387,171.61380004882812,0.10000000149011612,0.010090219788253307,3.8759639263153076,2.2422647816711105e-05,0.003024761565029621,171.61380004882812,0.10000000149011612
21824.0,0.010701658204197884,3.897531747817993,2.336761463084258e-05,0.0030317679047584534,171.61380004882812,0.10000000149011612,0.010849134996533394,3.911184072494507,2.3369180780719034e-05,0.0030313855968415737,171.61380004882812,0.10000000149011612,0.01050245575606823,3.8767101764678955,2.3365468223346397e-05,0.003032292705029249,171.61380004882812,0.10000000149011612
21824.0,0.011125857010483742,3.8983254432678223,2.4308250431204215e-05,0.003039098810404539,171.61380004882812,0.10000000149011612,0.011280282400548458,3.9121482372283936,2.4310014850925654e-05,0.0030386808793991804,171.61380004882812,0.10000000149011612,0.01091377716511488,3.8769447803497314,2.430584208923392e-05,0.00303966854698956,171.61380004882812,0.10000000149011612
21824.0,0.011548670940101147,3.898815631866455,2.5246448785765097e-05,0.003046272089704871,171.61380004882812,0.10000000149011612,0.011709894984960556,3.9127743244171143,2.5248433303204365e-05,0.0030458164401352406,171.61380004882812,0.10000000149011612,0.011330373585224152,3.8775572776794434,2.524374212953262e-05,0.0030468932818621397,171.61380004882812,0.10000000149011612
21824.0,0.011980583891272545,3.8998754024505615,2.618213511595968e-05,0.0030524651519954205,171.61380004882812,0.10000000149011612,0.012145538814365864,3.9136483669281006,2.6184357921010815e-05,0.0030519706197082996,171.61380004882812,0.10000000149011612,0.011746642179787159,3.8778605461120605,2.617911195557099e-05,0.003053137566894293,171.61380004882812,0.10000000149011612
21824.0,0.012412185780704021,3.900949716567993,2.7115378543385305e-05,0.003059656359255314,171.61380004882812,0.10000000149011612,0.012584508396685123,3.9148383140563965,2.7117846912005916e-05,0.003059123642742634,171.61380004882812,0.10000000149011612,0.01217291783541441,3.879183292388916,2.7111987947137095e-05,0.0030603883787989616,171.61380004882812,0.10000000149011612
21824.0,0.012847664766013622,3.9022300243377686,2.8046162697137333e-05,0.003066559322178364,171.61380004882812,0.10000000149011612,0.01302708312869072,3.9162516593933105,2.8048902095179074e-05,0.0030659858603030443,171.61380004882812,0.10000000149011612,0.012596148997545242,3.880115032196045,2.804239557008259e-05,0.0030673486180603504,171.61380004882812,0.10000000149011612
21824.0,0.013280465267598629,3.903083086013794,2.897447302530054e-05,0.0030730883590877056,171.61380004882812,0.10000000149011612,0.013473226688802242,3.9177916049957275,2.8977507099625655e-05,0.0030724722892045975,171.61380004882812,0.10000000149011612,0.013023489154875278,3.881251096725464,2.8970289349672385e-05,0.0030739400535821915,171.61380004882812,0.10000000149011612
21824.0,0.013714037835597992,3.9038941860198975,2.99002967949491e-05,0.0030796192586421967,171.61380004882812,0.10000000149011612,0.013915728777647018,3.9188754558563232,2.9903671020292677e-05,0.0030789521988481283,171.61380004882812,0.10000000149011612,0.013454011641442776,3.882613182067871,2.9895682018832304e-05,0.003080530557781458,171.61380004882812,0.10000000149011612
