Time (s),Temp0,Temp1,Temp2,Temp_CPU,Volt0,Volt1,Volt2,Volt_CPU,Curr0,Curr1,Curr2,Cyc0,Cyc1,Cyc2,Seq0,Seq1,Seq2,disval0,disval1,disval2,dislowval0,dislowval1,dislowval2,chgval0,chgval1,chgval2,chglowval0,chglowval1,chglowval2,estSOC0,estSOC1,estSOC2,estCAP0,estCAP1,estCAP2,estV0,estV1,estV2
2135.789622963,26.75,26.9375,28.8125,53.5,3.5936000000000003,3.688,3.5472,0.84,-0.0025,-0.0025,0.0,0,0,0,0,0,0,120,120,120,120,120,120,9,9,9,200,200,200,-1,-1,-1,-1,-1,-1,0,0,0
2136.889623799,26.75,26.9375,28.75,54.0,3.7488,3.848,3.736,0.84,-41.8225,-43.8775,-43.025,0,0,0,0,0,0,120,120,120,120,120,120,8.400000000000002,8.400000000000002,8.400000000000002,200,200,200,0.0019435437153552612,0.0023873081749280992,0.0018906670234169723,115,115,115,-0.35089550409792647,-0.4450928177167695,-0.3369996785651901
2137.989624337,26.75,26.9375,28.8125,53.5,3.7568,3.8592000000000004,3.752,0.84,-42.5,-44.575,-43.745,0,0,0,0,0,0,120,120,120,120,120,120,7.300000000000006,7.900000000000004,7.300000000000006,200,200,200,0.0023490088522885263,0.0028314648597093143,0.0023376256691805186,115,115,115,-0.3410144523642722,-0.43480776924507325,-0.3352350912890825
2139.089625912,26.75,26.875,28.8125,54.5,3.7632,3.8624,3.7584000000000004,0.84,-43.215,-44.56,-44.495,0,0,0,0,0,0,120,120,120,120,120,120,6.20000000000001,7.900000000000004,6.20000000000001,200,200,200,0.0028107618853468346,0.0033023420449075206,0.002799841137104428,115,115,115,-0.34241952954696,-0.43030101775732454,-0.33466837196434285
2140.189626783,26.8125,26.9375,28.75,55.5,3.7696,3.8655999999999997,3.7663999999999995,0.84,-43.9275,-44.555,-45.2525,0,0,0,0,0,0,120,120,120,120,120,120,5.100000000000014,7.900000000000004,5.900000000000011,200,200,200,0.0032658110481984955,0.003796438303299104,0.0032781012041673122,115,115,115,-0.3402088668189239,-0.43023707261063426,-0.33548568178931315
2141.289627374,26.8125,26.9375,28.75,56.0,3.7776,3.8688000000000002,3.7696,0.84,-44.6825,-44.56,-45.2525,0,0,0,0,0,0,120,120,120,120,120,120,4.900000000000015,7.900000000000004,5.900000000000011,200,200,200,0.003744743339261975,0.004278830938841591,0.0037636381683994087,115,115,115,-0.34108152291773836,-0.4268603214069443,-0.3370134190804287
2142.389628724,26.8125,26.9375,28.75,55.0,3.7807999999999997,3.872,3.776,0.84,-44.6875,-44.55,-45.2525,0,0,0,0,0,0,120,120,120,120,120,120,4.900000000000015,7.900000000000004,5.900000000000011,200,200,200,0.004214993442823708,0.0047486585375503005,0.004221276771457423,115,115,115,-0.33949215583808023,-0.42046091997495855,-0.33224785993412764
2143.489629333,26.875,27.0,28.8125,56.0,3.7824,3.872,3.7807999999999997,0.84,-44.6975,-44.5575,-45.2475,0,0,0,0,0,0,120,120,120,120,120,120,4.900000000000015,7.900000000000004,5.900000000000011,200,200,200,0.00467996332447742,0.005236410218189104,0.00468922565996303,115,115,115,-0.33640221157813693,-0.41725577170944095,-0.3292468011509252
2144.589630404,26.9375,27.0,28.75,55.0,3.7856,3.8752,3.7824,0.84,-44.6925,-44.5525,-45.255,0,0,0,0,0,0,120,120,120,120,120,120,4.900000000000015,7.900000000000004,5.900000000000011,200,200,200,0.005129933427585877,0.0057173613552455975,0.005158371290196296,115,115,115,-0.33021716532599166,-0.4123448843776318,-0.3261485647521916
2145.689631029,26.9375,27.0,28.75,56.4,3.7888,3.8768000000000002,3.7872000000000003,0.84,-44.6925,-44.5525,-45.2575,0,0,0,0,0,0,120,120,120,120,120,120,4.900000000000015,7.900000000000004,5.900000000000011,200,200,200,0.005607136694025248,0.006191424948924557,0.005637802670896451,115,115,115,-0.3288411866212282,-0.40591891534473173,-0.3245885055941668
2146.789632784,26.9375,27.0625,28.8125,55.5,3.7904,3.8768000000000002,3.7904,0.84,-44.6925,-44.555,-45.2575,0,0,0,0,0,0,120,120,120,120,120,120,4.900000000000015,7.900000000000004,5.900000000000011,200,200,200,0.006076188292249295,0.006693541021334769,0.006109878747235905,115,115,115,-0.3256711008013093,-0.40420330571358326,-0.3213900403418041
2147.889634204,27.0,27.0625,28.8125,56.0,3.7936000000000005,3.88,3.7936000000000005,0.84,-44.695,-44.55,-45.255,0,0,0,0,0,0,120,120,120,120,120,120,4.900000000000015,7.900000000000004,5.900000000000011,200,200,200,0.0070004062859609474,0.007656166857694413,0.0070393705499956095,115,115,115,-0.31646859086203033,-0.39273753867150835,-0.311950218699387
