Time (s),Temp0,Temp1,Temp2,Temp_CPU,Volt0,Volt1,Volt2,Volt_CPU,Curr0,Curr1,Curr2,Cyc0,Cyc1,Cyc2,Seq0,Seq1,Seq2,disval0,disval1,disval2,dislowval0,dislowval1,dislowval2,chgval0,chgval1,chgval2,chglowval0,chglowval1,chglowval2,estSOC0,estSOC1,estSOC2,estCAP0,estCAP1,estCAP2,estV0,estV1,estV2
69.437372253,23.375,23.1875,23.3125,40.4,3.7824,3.6528,3.8192000000000004,0.84,-0.0025,-0.0025,0.0,0,0,0,0,0,0,120,120,120,120,120,120,9,9,9,200,200,200,-1,-1,-1,-1,-1,-1,0,0,0
70.537372771,23.3125,23.1875,23.375,41.8,3.92,3.8496000000000006,3.976,0.84,-41.8525,-43.8175,-42.985,0,0,0,0,0,0,120,120,120,120,120,120,8.400000000000002,8.400000000000002,8.400000000000002,200,200,200,1.0072566530012819,1.0071163194295414,1.007360625400538,115,115,115,0.3626428268481958,0.44069029774908186,0.31643459103594695
71.637373307,23.375,23.25,23.375,42.3,3.9296,3.8608,3.9856,0.84,-42.53,-44.505,-43.705,0,0,0,0,0,0,120,120,120,120,120,120,7.300000000000006,7.900000000000004,7.300000000000006,200,200,200,1.0076677073831493,1.0075566663774878,1.0078062360115363,115,115,115,0.32051362500600555,0.3883585131535291,0.26593833729398386
72.737374144,23.3125,23.1875,23.375,42.3,3.9344,3.8672000000000004,3.9888000000000003,0.84,-43.235,-44.5025,-44.445,0,0,0,0,0,0,120,120,120,120,120,120,6.20000000000001,7.700000000000005,6.20000000000001,200,200,200,1.008010479779048,1.0079035102910228,1.008166575383511,115,115,115,0.3144728021476973,0.3814307484034789,0.2598452201730895
73.8373756,23.375,23.1875,23.375,42.3,3.9392000000000005,3.872,3.9968000000000004,0.84,-43.9625,-44.5075,-45.2025,0,0,0,0,0,0,120,120,120,120,120,120,5.100000000000014,7.400000000000006,5.900000000000011,200,200,200,1.008353722657881,1.008240480163718,1.008535257286299,115,115,115,0.3104448812112556,0.37819037292255486,0.2526897864437161
74.937376634,23.375,23.1875,23.375,42.8,3.9472000000000005,3.8784000000000005,4.001600000000001,0.84,-44.71,-45.2225,-45.2075,0,0,0,0,0,0,120,120,120,120,120,120,4.900000000000015,6.9000000000000075,5.900000000000011,200,200,200,1.0087017355415568,1.008575100449203,1.0088901328025082,115,115,115,0.3064697880846369,0.3749839529265832,0.25103809696218654
76.037376775,23.4375,23.25,23.375,43.3,3.9472000000000005,3.8832,4.0032,0.84,-44.72,-45.2225,-45.2075,0,0,0,0,0,0,120,120,120,120,120,120,4.900000000000015,6.9000000000000075,5.900000000000011,200,200,200,1.0090462475968356,1.0089197857147865,1.0092472238874899,115,115,115,0.3032583634916178,0.3693976440812623,0.247847137544973
77.137376835,23.4375,23.1875,23.375,41.8,3.9455999999999998,3.8863999999999996,4.0048,0.84,-44.705,-45.2175,-45.2125,0,0,0,0,0,0,120,120,120,120,120,120,4.900000000000015,6.9000000000000075,5.900000000000011,200,200,200,1.0093847431565333,1.009256511916816,1.0096030415004653,115,115,115,0.30163498491033325,0.36616272224145124,0.2446432466865737
78.237378347,23.5,23.3125,23.4375,43.8,3.9488000000000003,3.888,4.006399999999999,0.84,-44.7125,-45.2225,-45.215,0,0,0,0,0,0,120,120,120,120,120,120,4.900000000000015,6.9000000000000075,5.900000000000011,200,200,200,1.009721035367275,1.0095909822383038,1.0099485231338337,115,115,115,0.3000228300734673,0.36295108502692575,0.24459066729261514
79.337378608,23.5,23.3125,23.375,42.8,3.9536000000000002,3.8896,4.009600000000001,0.84,-44.71,-45.2175,-45.22,0,0,0,0,0,0,120,120,120,120,120,120,4.900000000000015,6.9000000000000075,5.900000000000011,200,200,200,1.0100551868040568,1.009923308400887,1.0103011732321823,115,115,115,0.29841622625361974,0.3597451857312972,0.2414294818910021
