Time (s),Temp0,Temp1,Temp2,Temp_CPU,Volt0,Volt1,Volt2,Volt_CPU,Curr0,Curr1,Curr2,Cyc0,Cyc1,Cyc2,Seq0,Seq1,Seq2,disval0,disval1,disval2,dislowval0,dislowval1,dislowval2,chgval0,chgval1,chgval2,chglowval0,chglowval1,chglowval2,estSOC0,estSOC1,estSOC2,estCAP0,estCAP1,estCAP2,estV0,estV1,estV2,heater_on?
57.385198983,24.25,23.9375,23.8125,38.9,3.768,3.76,3.7616000000000005,0.84,-0.005,0.0,0.0025,0,0,0,0,0,0,120,120,120,120,120,120,9,9,9,200,200,200,0,0,0,171.6138,171.6138,171.6138,0,0,0,False
58.387877094,24.25,23.9375,23.8125,39.9,3.6351999999999998,3.6240000000000006,3.616,0.84,33.9575,33.43,33.6725,0,0,0,0,0,0,120.49999999999997,120.49999999999997,120.49999999999997,120,120,120,9,9,9,200,200,200,0,0,0,171.6138,171.6138,171.6138,0,0,0,False
59.387914908,24.25,23.9375,23.8125,38.9,3.6304000000000003,3.6144000000000003,3.6096,0.84,34.61,33.8475,34.1275,0,0,0,0,0,0,121.49999999999991,121.49999999999991,121.49999999999991,120,120,120,9,9,9,200,200,200,0.0004952133430882083,0.0004888984781203856,0.0004847546838090078,171.6138,171.6138,171.6138,2.768686946835755,2.7685365540403284,2.767787271151553,False
60.387986482,24.1875,23.9375,23.8125,38.9,3.6240000000000006,3.608,3.6048,0.84,34.7625,34.25,34.475,0,0,0,0,0,0,122.49999999999986,122.49999999999986,122.49999999999986,120,120,120,9,9,9,200,200,200,0.0011639024815297487,0.0011441383754072954,0.0011358208092321189,171.6138,171.6138,171.6138,2.8021671299705133,2.801984982616031,2.7998673280364694,False
61.388159574,24.25,23.9375,23.8125,39.4,3.6240000000000006,3.6048,3.6031999999999997,0.84,35.19,34.655,34.865,0,0,0,0,0,0,123.4999999999998,123.4999999999998,123.4999999999998,120,120,120,9,9,9,200,200,200,0.001919594649758831,0.0018870212138409992,0.0018759211550840125,171.6138,171.6138,171.6138,2.951415438450905,2.9476394003410618,2.945312789455282,False
62.388167573,24.25,23.9375,23.8125,40.4,3.6192,3.6,3.5951999999999997,0.84,35.6875,35.0975,35.4075,0,0,0,0,0,0,124.49999999999974,124.49999999999974,124.49999999999974,120,120,120,9,9,9,200,200,200,0.002608674028459947,0.002558672642069111,0.0025475087955976303,171.6138,171.6138,171.6138,3.0969561424088345,3.089984274697078,3.0877110077148053,False
63.388273702,24.25,24.0,23.75,40.4,3.616,3.5951999999999997,3.5951999999999997,0.84,35.925,35.445,35.7175,0,0,0,0,0,0,125.49999999999969,125.49999999999969,125.49999999999969,120,120,120,9,9,9,200,200,200,0.003148829923143325,0.0030847941607670577,0.0030692213690118176,171.6138,171.6138,171.6138,3.220464264441251,3.210644039436653,3.2075939784780743,False
64.38829659,24.1875,23.9375,23.8125,40.9,3.6111999999999997,3.5888,3.5904000000000003,0.84,36.7125,35.855,36.2,0,0,0,0,0,0,126.49999999999963,126.49999999999963,126.49999999999963,120,120,120,9,9,9,200,200,200,0.0035324214995273895,0.0034564374236223192,0.003444234477473053,171.6138,171.6138,171.6138,3.317459975518786,3.3046249375987853,3.30206962629615,False
65.392472386,24.25,24.0,23.8125,41.3,3.608,3.5872,3.5872,0.84,36.88,36.2625,36.5675,0,0,0,0,0,0,127.49999999999957,127.49999999999957,127.49999999999957,120,120,120,9,9,9,200,200,200,0.0037827156764332404,0.003693085409364915,0.0036862583880265644,171.6138,171.6138,171.6138,3.387320069753511,3.373112645934877,3.37135051442056,False
66.39368196,24.25,24.0,23.75,40.9,3.6031999999999997,3.5824000000000003,3.5824000000000003,0.84,37.2425,36.7075,36.93,0,0,0,0,0,0,128.49999999999952,128.49999999999952,128.49999999999952,120,120,120,9,9,9,200,200,200,0.003923856299199136,0.003830824461024763,0.0038242982649641095,171.6138,171.6138,171.6138,3.4385239744655065,3.421898032740949,3.4208007663355033,False
