Time (s),Voltage (V),Current (A)
0.2500430459999734,5.0461,0.569699
0.9196438270000726,5.0464,0.639295
1.5636572409998735,5.0466,0.577181
2.2086006189997534,5.0464,0.576153
2.853578537999965,5.0463,0.577011
3.499093344999892,5.0461,0.573102
4.17807202799986,5.0462,0.683372
4.803684384000007,5.0463,0.560121
5.462965878999967,5.0464,0.557464
6.108758163999937,5.0462,0.556815
6.748238406999917,5.0464,0.576918
7.3929717890000575,5.0464,0.655979
8.039692855999874,5.0461,0.567329
8.684004945999732,5.0463,0.577393
9.33594863899998,5.0463,"0.57699
"
10.0066608369998,5.0462,0.561598
10.633404255999721,5.0460,0.652455
11.298258015000101,5.0461,0.573605
11.922790067999813,5.0461,"0.56313
"
12.587140347000059,5.0463,0.557886
13.2341498589999,5.0464,"0.55636
"
13.877066519999971,5.0463,0.598298
14.547790279999845,5.0461,0.575178
15.172001318999719,5.0464,0.666739
15.843090412000038,5.0464,0.577463
16.468499084000086,5.0465,0.577687
17.13836025699993,5.0464,0.559066
17.762444762000086,5.0461,0.565344
18.433697634000055,5.0462,0.656052
19.05800366299991,5.0463,0.569134
19.740140739999788,5.0462,0.563232
20.367346971999723,5.0464,0.576809
21.027988238000034,5.0463,0.577302
21.671349102000022,5.0460,0.678968
22.317388075000054,5.0463,0.574532
22.96289309099984,5.0462,0.642755
23.607740294999985,5.0461,0.559031
24.25219952999987,5.0463,0.556823
24.89529776800009,5.0463,0.560836
25.572215525000047,5.0464,0.577532
26.197532472000148,5.0464,0.662249
26.8724066259997,5.0464,0.567138
27.497084881999854,5.0462,0.578394
28.168048898000052,5.0463,0.578276
28.792399403999752,5.0464,0.564124
29.467107437999857,5.0464,0.681547
30.100039045999893,5.0463,0.569561
30.76280924599996,5.0462,0.563884
31.40743736100012,5.0465,"0.5579
"
32.05021967799985,5.0463,0.576622
32.69693377099975,5.0462,0.684775
33.3373372709998,5.0462,0.575228
33.982228489000136,5.0461,0.605107
34.62668111599987,5.0463,0.576859
35.30892810399973,5.0465,0.556464
35.93693419300007,5.0464,0.644144
36.602653292000014,5.0461,0.567056
37.227312528999846,5.0460,0.572898
37.89189193999982,5.0462,0.567819
38.51627332399994,5.0465,0.561232
39.17745734099981,5.0464,0.649728
39.8223381519997,5.0462,0.577182
40.46425606799994,5.0461,0.568866
41.1314549169997,5.0464,0.575305
41.75727583099979,5.0463,0.577734
42.42694436000011,5.0461,0.559012
43.05237824799997,5.0461,0.556478
43.72199726100007,5.0462,0.648981
44.34630140899981,5.0461,"0.57624
"
45.00580213500007,5.0461,0.572374
45.653463141999964,5.0464,0.577806
46.296903165,5.0464,0.577969
46.94184633899977,5.0463,0.642583
47.58064283099975,5.0463,0.565929
48.22677983299991,5.0462,0.682781
48.866102645999945,5.0462,0.577455
49.51117668100005,5.0464,0.562365
50.15645692099997,5.0464,"0.55779
"
51.26108890900014,5.0465,0.576369
51.88671580399978,5.0462,0.569739
52.54592045799973,5.0463,0.676445
53.19176891300003,5.0466,0.575994
53.83966948499983,5.0464,0.557458
54.48588196799983,5.0461,0.558322
55.12638923099985,5.0462,0.575385
55.77120191999984,5.0463,0.662136
56.41818005699997,5.0464,0.571198
57.06640951700001,5.0465,0.576718
57.71778188899998,5.0465,0.578177
58.3858199389997,5.0465,0.577452
59.011458933000085,5.0464,0.651002
59.68100040199988,5.0462,"0.57438
"
60.30488178199994,5.0462,0.567871
60.96644227900015,5.0464,0.560425
61.61205154499976,5.0464,0.556738
62.255013126999984,5.0464,0.616439
62.93250514300007,5.0463,0.577055
63.55556586800003,5.0463,0.575245
64.22091670400005,5.0465,"0.57613
"
64.86431394400006,5.0464,0.599566
65.5111799819997,5.0462,0.557178
66.18030999899975,5.0462,0.562486
66.80847149500005,5.0461,0.596936
67.46638914799996,5.0461,0.571672
68.11621050699978,5.0462,"0.56362
"
68.75899793300005,5.0463,0.576242
69.43101307200004,5.0463,0.578804
70.05583455499982,5.0460,0.625698
70.73140464900007,5.0462,0.572494
71.356034163,5.0462,0.575272
72.01738096500003,5.0463,0.560927
72.665897459,5.0464,0.558581
73.31295315699981,5.0464,0.559144
73.99006960299994,5.0464,"0.57717
"
74.6141849239998,5.0462,0.651076
75.27574311399985,5.0462,0.575943
75.92088298199997,5.0463,0.577338
76.56070408999994,5.0465,0.578059
77.20788795199996,5.0462,0.561341
77.85577683099973,5.0461,0.685391
78.50851379699998,5.0462,0.574188
79.14555853899992,5.0461,"0.56671
"
79.78866409500006,5.0462,0.558532
80.43999757199981,5.0462,0.577124
81.08570619200009,5.0463,0.693398
81.72558058000004,5.0463,0.578629
82.37222385899986,5.0463,0.574732
83.01461808099975,5.0463,0.576035
83.66938595600004,5.0464,0.577484
84.3053312019997,5.0464,0.635266
84.9803792419998,5.0462,0.564035
85.60509138899988,5.0463,0.688065
86.2798712079998,5.0464,0.570893
86.90474899399987,5.0463,0.563167
87.57241889299985,5.0463,0.639934
88.22020713699976,5.0464,0.576041
88.87197127399986,5.0463,0.565689
89.5207732419999,5.0462,0.572518
90.16444827499981,5.0460,0.575109
90.81013131100008,5.0463,0.561235
91.46002831099986,5.0467,"0.55761
"
92.10218052999971,5.0465,0.645199
92.74528386299971,5.0461,0.576906
93.39035503800005,5.0459,0.674577
94.0457409339997,5.0464,0.568445
94.68999304999988,5.0465,0.578482
95.33497705399986,5.0465,"0.63489
"
95.97794885099984,5.0466,0.577368
96.62494523699979,5.0463,0.654937
97.28941768699997,5.0463,0.575035
97.91631476399971,5.0462,"0.56531
"
98.57261509,5.0463,0.559311
99.22335722399976,5.0465,0.557706
99.86008210199998,5.0463,0.656359
100.50459942899988,5.0461,0.577156
101.14966541400008,5.0462,0.662128
101.79461999900013,5.0463,0.577437
102.43504583200001,5.0462,0.577839
103.11039561200005,5.0463,0.665334
103.73238179300006,5.0463,0.565992
104.41410974099972,5.0461,0.571246
105.0392342529999,5.0463,0.568828
105.70440127099982,5.0465,0.561001
106.348736981,5.0466,0.683784
106.98956676599983,5.0466,0.578042
107.63440650599978,5.0461,0.579344
108.2821183709998,5.0461,0.573864
108.95330482000008,5.0463,0.577703
109.58602467899982,5.0464,0.577687
110.2391717370001,5.0465,0.557261
110.8840240579998,5.0463,0.664195
111.52862528800006,5.0461,0.577277
112.1762520809998,5.0461,0.572531
112.82346710799993,5.0465,0.565864
113.46904617900009,5.0466,0.574586
114.11957136199999,5.0464,0.675209
114.76837960400007,5.0464,0.578676
115.40901550199987,5.0463,0.570354
116.05314416100009,5.0460,"0.57527
"
116.70242997700007,5.0463,0.562566
117.34809944900007,5.0465,0.639637
117.98761785499983,5.0462,0.558191
118.63463740899988,5.0461,0.691951
119.28342516700013,5.0462,0.576658
119.9337672759998,5.0462,0.572076
120.57174464299987,5.0466,0.658398
121.21734758499997,5.0466,0.575753
121.85886902099992,5.0464,0.687514
122.53321105299983,5.0463,0.567268
123.15785664999976,5.0463,0.584588
123.83043273399971,5.0462,0.571854
124.45797098599996,5.0464,0.560353
125.13466598700006,5.0465,0.642525
125.75781669399976,5.0461,"0.52924
"
126.43141026100011,5.0462,0.685138
127.05812362699999,5.0461,0.575689
127.72858898799996,5.0462,0.577312
128.3531602539997,5.0464,0.658477
129.0245682939999,5.0464,0.557947
129.6481512780001,5.0461,0.561705
130.3174099779999,"5.046
",0.568455
130.96296633700013,5.0462,0.573071
131.60345534399994,5.0463,0.565259
132.24867212499976,5.0466,0.577598
132.89142929799982,5.0465,0.658552
133.56760265100002,5.0460,0.577074
134.195552916,5.0459,0.571836
134.85754140400013,5.0463,0.574954
135.50847303,5.0462,0.562375
136.1479022149997,5.0462,0.662034
136.81639377700003,5.0462,0.558431
137.44398401299986,5.0462,0.578312
138.1109924379998,5.0462,0.575562
138.7377876759997,5.0461,"0.57126
"
139.39915629799998,5.0462,0.665974
140.04301932499993,5.0464,0.578842
140.69405959200003,5.0462,0.561777
141.36187316099995,5.0461,0.567817
141.98772653600008,5.0463,0.573416
142.66167816899997,5.0465,0.645686
143.28764785800013,5.0464,0.556244
143.948056663,5.0464,0.577416
144.59401783099975,5.0464,0.578175
145.2321816059998,5.0462,0.575074
145.88040146100002,5.0463,0.658878
146.52276540899993,5.0465,0.576732
147.16738814099972,5.0463,0.665133
147.81219374800003,5.0464,0.558053
148.48215949199994,5.0463,0.563135
149.10683519899976,5.0460,0.570833
149.77972906700006,5.0463,0.571301
150.4073849299998,5.0464,0.642429
151.08670576999975,5.0463,"0.57499
"
151.710885556,5.0463,0.577955
152.38182379399996,5.0463,0.577738
153.00739324300002,5.0464,0.572989
153.67744361699988,5.0464,0.661269
154.30224973199984,5.0466,"0.55845
"
154.96849261599982,5.0465,0.638947
155.6123915029998,5.0463,0.559589
156.2619042729998,5.0462,"0.57659
"
156.9314335199997,5.0461,0.598916
157.55738775100008,5.0464,0.567864
158.22254512500012,5.0465,0.664761
158.84703434699986,5.0463,0.577483
159.51243668400002,5.0463,0.561889
160.13854140400008,5.0462,0.569326
160.81207079199976,5.0460,0.573932
161.44238730000006,5.0462,0.642622
162.10146233199976,5.0466,0.557533
162.74770235100004,5.0466,0.577034
163.38663300300004,5.0464,0.575974
164.0313729059999,5.0462,0.576957
164.67205989600006,5.0462,0.683631
165.31851983299975,5.0464,"0.57671
"
165.96069049800008,5.0465,0.668715
166.63569776699978,5.0465,0.558091
167.26123597200012,5.0464,0.565753
167.92597045399998,5.0464,0.570724
168.55153268200002,5.0463,0.569571
169.2212401060001,5.0463,"0.65126
"
169.84537836599975,5.0464,0.577366
170.512572955,5.0464,0.576904
171.13654309499998,5.0462,0.577778
171.80127969299974,5.0463,0.574441
172.42698882700006,5.0464,0.683906
173.09629997499997,5.0465,0.576504
173.7211076499998,5.0465,0.556621
174.39012776399977,5.0462,0.560197
175.01622285999974,5.0463,0.576838
175.692404075,5.0464,0.661603
176.31554757699996,5.0463,"0.56628
"
176.98041572800003,5.0463,0.576705
177.60649969899987,5.0463,0.577656
178.2761558940001,5.0462,0.576048
178.9007053219998,5.0461,0.653226
179.56069441599993,5.0462,0.575402
180.20518261999996,5.0464,0.667594
180.84778840799981,5.0466,0.561514
181.5157386699998,5.0463,0.556074
182.14153996100003,5.0463,0.626061
182.79965743999992,5.0464,0.574374
183.4458943919999,5.0463,0.655387
184.0954482699999,5.0463,0.576403
184.7407630329999,5.0463,0.576715
185.3904183290001,5.0464,0.557363
186.03675910499987,5.0463,0.564795
186.67604390199995,5.0462,0.659698
187.32112237799993,5.0464,0.568287
187.96124334199976,5.0464,0.560404
188.60589911499983,5.0464,0.556872
189.2507529659997,5.0463,"0.57793
"
189.92042743399998,5.0462,0.598138
190.54595925400008,5.0462,"0.57322
"
191.2111301770001,5.0466,0.576017
191.83474218899983,5.0464,0.577879
192.49984853900014,5.0464,0.558166
193.14554144199974,5.0465,0.561445
193.785139007,5.0465,0.569535
194.430855307,5.0464,0.589909
195.07481434600004,5.0463,0.567148
195.71929720199978,5.0466,0.559405
196.37109547699993,5.0466,"0.578
"
197.01140130299973,5.0462,0.577879
197.65400753199992,5.0461,0.605822
198.299148436,5.0464,0.576587
198.94368688899976,5.0464,0.577632
199.58794805099978,5.0464,0.576801
200.2341985160001,5.0463,0.558206
200.87991632400008,5.0461,0.564467
201.5221585129998,5.0460,0.575664
202.17024313299999,5.0462,0.604787
