Time (s),Voltage (V),Current (A)
1.0000012479999896,3.1334,0.0027437
2.1875695339999766,3.1356,0.0027179
3.187570840999797,3.1360,0.0027208
4.187572879999607,3.1358,0.0027246
5.187574140999914,3.1359,0.0027046
6.187575716999618,3.1363,0.0027103
7.187577609999607,3.1362,0.0027103
8.187577838999914,3.1363,0.0027208
9.187578955999925,3.1361,0.0027294
